name,column,percentage_outliers,std_outliers,technique_accuracy,f1_technique
acustic,_HarmonicChangeDetectionFunction_Std,10,1,IQR,0.9466851476581308
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,10,1,IQR,0.8635411563584404
acustic,_Zero-crossingrate_Mean,10,1,IQR,0.8202327422496501
acustic,_Fluctuation_Mean,10,1,IQR,0.8695236717790562
acustic,_HarmonicChangeDetectionFunction_Std,20,1,IQR,0.8643946625588329
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,20,1,IQR,0.7765072863682116
acustic,_Zero-crossingrate_Mean,20,1,IQR,0.8102312136821789
acustic,_Fluctuation_Mean,20,1,IQR,0.895381931638032
acustic,_HarmonicChangeDetectionFunction_Std,30,1,IQR,0.7258900066347301
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,30,1,IQR,0.5834994738056626
acustic,_Zero-crossingrate_Mean,30,1,IQR,0.6974167334663848
acustic,_Fluctuation_Mean,30,1,IQR,0.8295090043816464
acustic,_HarmonicChangeDetectionFunction_Std,40,1,IQR,0.1985641348704452
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,40,1,IQR,0.1020438093565344
acustic,_Zero-crossingrate_Mean,40,1,IQR,0.1411708519315855
acustic,_Fluctuation_Mean,40,1,IQR,0.7564236887408966
acustic,_HarmonicChangeDetectionFunction_Std,50,1,IQR,0.0
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,50,1,IQR,0.0
acustic,_Zero-crossingrate_Mean,50,1,IQR,0.0
acustic,_Fluctuation_Mean,50,1,IQR,0.2441778156343355
acustic,_HarmonicChangeDetectionFunction_Std,10,1,ISO,0.8554972800269423
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,10,1,ISO,0.8396510341857254
acustic,_Zero-crossingrate_Mean,10,1,ISO,0.8798324217786407
acustic,_Fluctuation_Mean,10,1,ISO,0.7373293147221052
acustic,_HarmonicChangeDetectionFunction_Std,20,1,ISO,0.5817893322107961
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,20,1,ISO,0.6151795340227383
acustic,_Zero-crossingrate_Mean,20,1,ISO,0.5903014925026954
acustic,_Fluctuation_Mean,20,1,ISO,0.4873946920214269
acustic,_HarmonicChangeDetectionFunction_Std,30,1,ISO,0.4461657473485211
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,30,1,ISO,0.4179072873599602
acustic,_Zero-crossingrate_Mean,30,1,ISO,0.4404953698550169
acustic,_Fluctuation_Mean,30,1,ISO,0.3700721335269396
acustic,_HarmonicChangeDetectionFunction_Std,40,1,ISO,0.3338723311952261
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,40,1,ISO,0.3179488641076794
acustic,_Zero-crossingrate_Mean,40,1,ISO,0.3149163113994074
acustic,_Fluctuation_Mean,40,1,ISO,0.3052050193074112
acustic,_HarmonicChangeDetectionFunction_Std,50,1,ISO,0.2509975934643081
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,50,1,ISO,0.2695165598517293
acustic,_Zero-crossingrate_Mean,50,1,ISO,0.2626418396396034
acustic,_Fluctuation_Mean,50,1,ISO,0.2492395297188562
acustic,_HarmonicChangeDetectionFunction_Std,10,1,PERC,0.3281218856969258
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,10,1,PERC,0.3321986851233311
acustic,_Zero-crossingrate_Mean,10,1,PERC,0.3236111945824052
acustic,_Fluctuation_Mean,10,1,PERC,0.3565256789045737
acustic,_HarmonicChangeDetectionFunction_Std,20,1,PERC,0.1761609788585944
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,20,1,PERC,0.1850766560726494
acustic,_Zero-crossingrate_Mean,20,1,PERC,0.177135958689482
acustic,_Fluctuation_Mean,20,1,PERC,0.1771563805138912
acustic,_HarmonicChangeDetectionFunction_Std,30,1,PERC,0.1264533076393109
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,30,1,PERC,0.1240462095600433
acustic,_Zero-crossingrate_Mean,30,1,PERC,0.1286658351980748
acustic,_Fluctuation_Mean,30,1,PERC,0.1225105571316222
acustic,_HarmonicChangeDetectionFunction_Std,40,1,PERC,0.0965317444837306
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,40,1,PERC,0.0923561092213386
acustic,_Zero-crossingrate_Mean,40,1,PERC,0.0900335647967677
acustic,_Fluctuation_Mean,40,1,PERC,0.0944764065065116
acustic,_HarmonicChangeDetectionFunction_Std,50,1,PERC,0.077537793072291
acustic,_HarmonicChangeDetectionFunction_PeriodAmp,50,1,PERC,0.0788449245884654
acustic,_Zero-crossingrate_Mean,50,1,PERC,0.0783126308129096
acustic,_Fluctuation_Mean,50,1,PERC,0.0790580937026391
