1,2,3,4,5,6,7
IQR,ZSB,ISO,LOF,STD,PERC,KNN
IQR,ZSB,ISO,STD,LOF,PERC,KNN
IQR,ISO,ZSB,STD,LOF,PERC,KNN
IQR,ZSB,ISO,STD,LOF,PERC,KNN
IQR,ZSB,ISO,STD,LOF,PERC,KNN
IQR,ISO,ZSB,STD,LOF,PERC,KNN
IQR,ISO,ZSB,STD,LOF,PERC,KNN
IQR,ZSB,ISO,STD,LOF,PERC,KNN
IQR,ISO,ZSB,STD,LOF,PERC,KNN
IQR,ZSB,ISO,STD,LOF,PERC,KNN
IQR,ISO,ZSB,STD,LOF,PERC,KNN
IQR,ISO,ZSB,LOF,STD,PERC,KNN
IQR,ISO,ZSB,STD,LOF,PERC,KNN
IQR,ZSB,ISO,LOF,STD,PERC,KNN
IQR,ISO,ZSB,STD,LOF,PERC,KNN
IQR,ISO,ZSB,STD,LOF,PERC,KNN
IQR,ISO,ZSB,LOF,STD,PERC,KNN
IQR,ZSB,ISO,LOF,STD,PERC,KNN
IQR,ISO,ZSB,STD,LOF,PERC,KNN
ZSB,IQR,ISO,KNN,LOF,PERC,STD
ZSB,IQR,ISO,KNN,LOF,PERC,STD
ZSB,IQR,ISO,KNN,LOF,STD,PERC
ZSB,IQR,ISO,LOF,KNN,STD,PERC
ZSB,IQR,ISO,LOF,KNN,STD,PERC
ZSB,IQR,ISO,LOF,KNN,STD,PERC
IQR,ZSB,ISO,LOF,KNN,STD,PERC
ZSB,IQR,ISO,LOF,KNN,STD,PERC
IQR,ZSB,ISO,LOF,KNN,STD,PERC
IQR,ZSB,ISO,LOF,KNN,STD,PERC
IQR,ZSB,ISO,LOF,STD,KNN,PERC
IQR,ZSB,ISO,LOF,KNN,STD,PERC
IQR,ZSB,ISO,LOF,KNN,STD,PERC
IQR,ZSB,ISO,LOF,KNN,STD,PERC
IQR,ZSB,ISO,LOF,KNN,STD,PERC
IQR,ZSB,ISO,LOF,KNN,STD,PERC
IQR,ZSB,ISO,LOF,STD,KNN,PERC
IQR,ZSB,ISO,LOF,KNN,STD,PERC
IQR,ZSB,ISO,LOF,STD,KNN,PERC
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,ISO,KNN,LOF,PERC,STD
ZSB,IQR,ISO,KNN,LOF,PERC,STD
ZSB,IQR,ISO,KNN,LOF,PERC,STD
ZSB,IQR,ISO,KNN,LOF,PERC,STD
ZSB,IQR,ISO,KNN,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,ISO,KNN,LOF,PERC,STD
ZSB,IQR,ISO,KNN,LOF,PERC,STD
ZSB,IQR,ISO,KNN,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
IQR,ZSB,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
IQR,ZSB,KNN,ISO,LOF,PERC,STD
IQR,ZSB,ISO,KNN,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
IQR,ZSB,ISO,KNN,LOF,PERC,STD
ZSB,KNN,ISO,LOF,IQR,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,LOF,ISO,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,LOF,ISO,PERC,STD
KNN,ISO,LOF,ZSB,PERC,IQR,STD
KNN,ZSB,ISO,LOF,PERC,IQR,STD
KNN,ZSB,ISO,LOF,IQR,PERC,STD
ZSB,KNN,IQR,ISO,LOF,PERC,STD
ZSB,KNN,IQR,ISO,LOF,PERC,STD
ZSB,KNN,IQR,ISO,LOF,PERC,STD
ZSB,KNN,IQR,ISO,LOF,PERC,STD
ZSB,KNN,IQR,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,LOF,ISO,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,LOF,ISO,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
IQR,ISO,ZSB,LOF,STD,PERC,KNN
ISO,IQR,ZSB,LOF,STD,PERC,KNN
ISO,IQR,ZSB,LOF,STD,PERC,KNN
ISO,IQR,ZSB,STD,LOF,PERC,KNN
IQR,ISO,ZSB,LOF,STD,PERC,KNN
IQR,ISO,ZSB,LOF,STD,PERC,KNN
IQR,ISO,ZSB,LOF,STD,PERC,KNN
IQR,ISO,ZSB,STD,LOF,PERC,KNN
IQR,ISO,ZSB,STD,LOF,PERC,KNN
IQR,ISO,ZSB,LOF,STD,PERC,KNN
IQR,ISO,ZSB,LOF,STD,PERC,KNN
ISO,IQR,ZSB,LOF,STD,PERC,KNN
IQR,ISO,ZSB,LOF,STD,PERC,KNN
IQR,ISO,ZSB,LOF,STD,PERC,KNN
IQR,ISO,ZSB,STD,LOF,PERC,KNN
IQR,ISO,ZSB,LOF,STD,PERC,KNN
IQR,ISO,ZSB,LOF,STD,PERC,KNN
IQR,ISO,ZSB,LOF,STD,PERC,KNN
IQR,ISO,ZSB,LOF,STD,PERC,KNN
ZSB,IQR,ISO,LOF,KNN,PERC,STD
ZSB,IQR,ISO,LOF,KNN,PERC,STD
IQR,ZSB,ISO,LOF,KNN,STD,PERC
IQR,ZSB,ISO,LOF,KNN,STD,PERC
IQR,ZSB,ISO,LOF,KNN,STD,PERC
IQR,ZSB,ISO,LOF,KNN,STD,PERC
IQR,ZSB,ISO,LOF,KNN,STD,PERC
IQR,ZSB,ISO,LOF,KNN,STD,PERC
IQR,ZSB,ISO,LOF,KNN,STD,PERC
IQR,ZSB,ISO,LOF,STD,KNN,PERC
IQR,ZSB,ISO,LOF,STD,KNN,PERC
IQR,ZSB,ISO,LOF,STD,KNN,PERC
IQR,ZSB,ISO,LOF,STD,KNN,PERC
IQR,ZSB,ISO,LOF,KNN,STD,PERC
IQR,ZSB,ISO,LOF,KNN,STD,PERC
IQR,ZSB,ISO,LOF,KNN,STD,PERC
IQR,ZSB,ISO,LOF,KNN,STD,PERC
IQR,ZSB,ISO,LOF,KNN,STD,PERC
IQR,ZSB,ISO,LOF,KNN,STD,PERC
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,ISO,KNN,LOF,PERC,STD
ZSB,IQR,ISO,KNN,LOF,PERC,STD
ZSB,IQR,ISO,KNN,LOF,PERC,STD
ZSB,IQR,ISO,KNN,LOF,PERC,STD
ZSB,IQR,ISO,KNN,LOF,PERC,STD
ZSB,IQR,ISO,KNN,LOF,PERC,STD
ZSB,IQR,ISO,KNN,LOF,PERC,STD
IQR,ZSB,ISO,KNN,LOF,PERC,STD
ZSB,IQR,ISO,KNN,LOF,PERC,STD
IQR,ZSB,ISO,KNN,LOF,PERC,STD
IQR,ZSB,ISO,KNN,LOF,PERC,STD
IQR,ZSB,ISO,KNN,LOF,PERC,STD
IQR,ZSB,KNN,ISO,LOF,PERC,STD
IQR,ZSB,ISO,KNN,LOF,PERC,STD
IQR,ZSB,ISO,KNN,LOF,PERC,STD
IQR,ZSB,ISO,KNN,LOF,PERC,STD
IQR,ZSB,ISO,KNN,LOF,PERC,STD
IQR,ZSB,ISO,KNN,LOF,PERC,STD
ZSB,KNN,ISO,LOF,IQR,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,LOF,ISO,PERC,STD
KNN,ISO,LOF,ZSB,PERC,IQR,STD
KNN,ZSB,ISO,LOF,IQR,PERC,STD
KNN,ZSB,ISO,IQR,LOF,PERC,STD
ZSB,KNN,IQR,ISO,LOF,PERC,STD
ZSB,KNN,IQR,ISO,LOF,PERC,STD
ZSB,KNN,IQR,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,LOF,ISO,PERC,STD
ZSB,IQR,KNN,LOF,ISO,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,LOF,ISO,PERC,STD
ZSB,IQR,KNN,LOF,ISO,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,LOF,ISO,PERC,STD
ISO,IQR,ZSB,LOF,STD,PERC,KNN
IQR,ISO,ZSB,LOF,STD,PERC,KNN
IQR,ISO,ZSB,LOF,STD,PERC,KNN
IQR,ISO,ZSB,LOF,STD,PERC,KNN
ISO,IQR,ZSB,STD,LOF,PERC,KNN
IQR,ISO,ZSB,LOF,STD,PERC,KNN
IQR,ISO,ZSB,STD,LOF,PERC,KNN
IQR,ISO,ZSB,LOF,STD,PERC,KNN
IQR,ISO,ZSB,STD,LOF,PERC,KNN
IQR,ISO,ZSB,STD,LOF,PERC,KNN
ISO,IQR,ZSB,LOF,STD,PERC,KNN
IQR,ISO,ZSB,LOF,STD,PERC,KNN
IQR,ISO,ZSB,STD,LOF,PERC,KNN
IQR,ISO,ZSB,LOF,STD,PERC,KNN
IQR,ISO,ZSB,STD,LOF,PERC,KNN
IQR,ISO,ZSB,LOF,STD,PERC,KNN
IQR,ISO,ZSB,LOF,STD,PERC,KNN
IQR,ISO,ZSB,LOF,STD,PERC,KNN
IQR,ISO,ZSB,LOF,STD,PERC,KNN
ZSB,IQR,ISO,LOF,KNN,PERC,STD
IQR,ZSB,ISO,LOF,KNN,PERC,STD
IQR,ZSB,ISO,LOF,KNN,STD,PERC
IQR,ZSB,ISO,LOF,KNN,STD,PERC
IQR,ZSB,ISO,LOF,STD,KNN,PERC
IQR,ZSB,ISO,LOF,KNN,STD,PERC
IQR,ZSB,ISO,LOF,KNN,STD,PERC
IQR,ZSB,ISO,LOF,STD,KNN,PERC
IQR,ZSB,ISO,LOF,STD,KNN,PERC
IQR,ZSB,ISO,LOF,KNN,STD,PERC
IQR,ZSB,ISO,LOF,STD,KNN,PERC
IQR,ZSB,ISO,LOF,STD,KNN,PERC
IQR,ZSB,ISO,LOF,KNN,STD,PERC
IQR,ZSB,ISO,LOF,STD,KNN,PERC
IQR,ZSB,ISO,LOF,STD,KNN,PERC
IQR,ZSB,ISO,LOF,STD,KNN,PERC
IQR,ZSB,ISO,LOF,STD,KNN,PERC
IQR,ZSB,ISO,LOF,KNN,STD,PERC
IQR,ZSB,ISO,LOF,STD,KNN,PERC
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,ISO,KNN,LOF,PERC,STD
ZSB,IQR,ISO,KNN,LOF,PERC,STD
ZSB,IQR,ISO,KNN,LOF,PERC,STD
ZSB,IQR,ISO,KNN,LOF,PERC,STD
ZSB,IQR,ISO,KNN,LOF,PERC,STD
ZSB,IQR,ISO,KNN,LOF,PERC,STD
ZSB,IQR,ISO,KNN,LOF,PERC,STD
IQR,ZSB,ISO,KNN,LOF,PERC,STD
IQR,ZSB,ISO,KNN,LOF,PERC,STD
IQR,ZSB,ISO,KNN,LOF,PERC,STD
IQR,ZSB,ISO,KNN,LOF,PERC,STD
IQR,ZSB,ISO,KNN,LOF,PERC,STD
IQR,ZSB,ISO,KNN,LOF,PERC,STD
IQR,ZSB,ISO,KNN,LOF,STD,PERC
IQR,ZSB,ISO,KNN,LOF,PERC,STD
IQR,ZSB,ISO,KNN,LOF,PERC,STD
IQR,ZSB,ISO,LOF,KNN,PERC,STD
IQR,ZSB,ISO,KNN,LOF,PERC,STD
ZSB,KNN,ISO,LOF,IQR,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
IQR,ZSB,KNN,ISO,LOF,PERC,STD
IQR,ZSB,KNN,ISO,LOF,PERC,STD
IQR,ZSB,KNN,LOF,ISO,PERC,STD
KNN,ZSB,ISO,LOF,PERC,IQR,STD
KNN,ZSB,ISO,LOF,PERC,IQR,STD
ZSB,KNN,IQR,ISO,LOF,PERC,STD
ZSB,KNN,ISO,IQR,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,KNN,IQR,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,LOF,ISO,PERC,STD
ZSB,IQR,KNN,LOF,ISO,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
ZSB,IQR,KNN,LOF,ISO,PERC,STD
ZSB,IQR,KNN,ISO,LOF,PERC,STD
