dataset,model,technique,real,pred,perc_completeness
abalone_0,DecisionTree,impute_standard,0.0,0.0,0.5002875
abalone_1,DecisionTree,impute_standard,0.0,0.0,0.4477375
abalone_2,DecisionTree,impute_standard,0.0,0.0,0.4049
abalone_3,DecisionTree,impute_standard,0.0,0.0,0.3526249999999999
abalone_4,DecisionTree,impute_standard,0.0,0.0,0.2980625
abalone_5,DecisionTree,impute_standard,0.0,0.0,0.25275
abalone_6,DecisionTree,impute_standard,0.0,0.0,0.202125
abalone_7,DecisionTree,impute_standard,0.0,0.0,0.1522625
abalone_8,DecisionTree,impute_standard,0.0,0.0,0.1008125
abalone_9,DecisionTree,impute_standard,0.0,0.0,0.0487
abalone_0,DecisionTree,impute_mode,-0.004576135038365958,0.009315685083728353,0.5002875
abalone_1,DecisionTree,impute_mode,0.001984461306580698,0.010886333247365087,0.4477375
abalone_2,DecisionTree,impute_mode,0.0038001321375247255,0.013565144111888453,0.4049
abalone_3,DecisionTree,impute_mode,-0.024163969754374515,0.013509374612256589,0.3526249999999999
abalone_4,DecisionTree,impute_mode,-0.012407257011094686,0.005303323268363618,0.2980625
abalone_5,DecisionTree,impute_mode,-0.008655774189083143,0.01118921233176842,0.25275
abalone_6,DecisionTree,impute_mode,-0.0017812391786249382,0.0074894324796259395,0.202125
abalone_7,DecisionTree,impute_mode,0.001115526918770926,0.0075637446210511765,0.1522625
abalone_8,DecisionTree,impute_mode,-0.0012566257197745845,0.006607558984534896,0.1008125
abalone_9,DecisionTree,impute_mode,0.006723096390139349,0.009238112759907132,0.0487
abalone_0,DecisionTree,impute_random,-0.003006410491252165,0.014209759002934442,0.5002875
abalone_1,DecisionTree,impute_random,0.014470090721416029,0.01594406373959099,0.4477375
abalone_2,DecisionTree,impute_random,0.010542339420512747,0.01710031841086471,0.4049
abalone_3,DecisionTree,impute_random,-0.025973231067851765,0.016707182697434327,0.3526249999999999
abalone_4,DecisionTree,impute_random,-0.02224635173707168,0.011526525860760091,0.2980625
abalone_5,DecisionTree,impute_random,0.0003398748031250287,0.01100214677203972,0.25275
abalone_6,DecisionTree,impute_random,-0.006340649054921599,0.007582857823802642,0.202125
abalone_7,DecisionTree,impute_random,-0.013040842438086786,0.009209731748077894,0.1522625
abalone_8,DecisionTree,impute_random,0.004293848172588044,0.008787398419388626,0.1008125
abalone_9,DecisionTree,impute_random,0.003948989897208377,0.010578897276766584,0.0487
abalone_0,DecisionTree,impute_knn,-0.0004459194771673225,0.014896763971265622,0.5002875
abalone_1,DecisionTree,impute_knn,0.0007898309331559883,0.017184403074886168,0.4477375
abalone_2,DecisionTree,impute_knn,0.012425294164441159,0.022623195385695707,0.4049
abalone_3,DecisionTree,impute_knn,-0.008813741828404442,0.023549260685713915,0.3526249999999999
abalone_4,DecisionTree,impute_knn,-0.009355883988848568,0.0016466363531264928,0.2980625
abalone_5,DecisionTree,impute_knn,-0.0009327540420720482,0.017191091621385966,0.25275
abalone_6,DecisionTree,impute_knn,-0.004645877853617586,0.011595072278343405,0.202125
abalone_7,DecisionTree,impute_knn,-0.004514992509357274,0.011236686322646646,0.1522625
abalone_8,DecisionTree,impute_knn,-0.010089133529075145,0.009853739346988605,0.1008125
