dataset,model,ranking_eval,ranking_real,ranking_pred,value_real,value_pred,perc_completeness
abalone_0,DecisionTree,0.125,['impute_standard' 'impute_mice' 'impute_knn' 'impute_random' 'impute_mode' 'impute_kproto' 'impute_random_forest' 'impute_logistic_regression'],['impute_knn' 'impute_mice' 'impute_random' 'impute_logistic_regression' 'impute_random_forest' 'impute_mode' 'impute_kproto' 'impute_standard'],[ 0.00000000e+00 -8.23885617e-05 -4.45919477e-04 -3.00641049e-03 -4.57613504e-03 -4.72039652e-03 -6.16811417e-03 -7.53940368e-03],[0.01489676 0.01437156 0.01420976 0.01224315 0.00968671 0.00931569 0.00927362 0.        ],0.5002875
abalone_0,LogisticRegression,0.125,['impute_mode' 'impute_kproto' 'impute_random' 'impute_knn' 'impute_mice' 'impute_standard' 'impute_random_forest' 'impute_logistic_regression'],['impute_random' 'impute_knn' 'impute_mice' 'impute_logistic_regression' 'impute_mode' 'impute_kproto' 'impute_random_forest' 'impute_standard'],[ 0.01398138  0.01398138  0.01127597  0.00124813  0.00110465  0. -0.01559021 -0.02313796],[0.01136579 0.00962017 0.00956955 0.00894954 0.00875908 0.00875908 0.00545767 0.        ],0.5002875
abalone_0,KNN,0.125,['impute_mice' 'impute_knn' 'impute_random_forest' 'impute_mode' 'impute_kproto' 'impute_standard' 'impute_random' 'impute_logistic_regression'],['impute_standard' 'impute_random' 'impute_kproto' 'impute_mode' 'impute_knn' 'impute_mice' 'impute_logistic_regression' 'impute_random_forest'],[ 0.01272713  0.01250103  0.00137903  0.00084841  0.00084841  0. -0.00043175 -0.01605679],[ 0.         -0.01540939 -0.02569527 -0.0257409  -0.02738535 -0.02762552 -0.03002187 -0.0303914 ],0.5002875
abalone_0,RandomForest,0.125,['impute_mice' 'impute_knn' 'impute_standard' 'impute_random' 'impute_mode' 'impute_kproto' 'impute_logistic_regression' 'impute_random_forest'],['impute_random' 'impute_knn' 'impute_mice' 'impute_mode' 'impute_kproto' 'impute_logistic_regression' 'impute_random_forest' 'impute_standard'],[ 0.00397915  0.00326287  0.         -0.00273434 -0.00568776 -0.00923988 -0.01512388 -0.01747928],[0.01274669 0.01136003 0.01127454 0.00918517 0.00913215 0.0076382 0.00678314 0.        ],0.5002875
abalone_0,AdaBoost,0.0,['impute_standard' 'impute_mode' 'impute_random' 'impute_knn' 'impute_mice' 'impute_logistic_regression' 'impute_random_forest' 'impute_kproto'],['impute_random' 'impute_knn' 'impute_mice' 'impute_logistic_regression' 'impute_random_forest' 'impute_kproto' 'impute_mode' 'impute_standard'],[0. 0. 0. 0. 0. 0. 0. 0.],[0.0128118  0.00813822 0.00809668 0.0078016  0.00780087 0.00691479 0.00675959 0.        ],0.5002875
abalone_0,SVC,0.0,['impute_mode' 'impute_kproto' 'impute_logistic_regression' 'impute_random_forest' 'impute_knn' 'impute_mice' 'impute_random' 'impute_standard'],['impute_knn' 'impute_mice' 'impute_random_forest' 'impute_logistic_regression' 'impute_mode' 'impute_kproto' 'impute_standard' 'impute_random'],[0.1321628  0.1321628  0.06113258 0.02691615 0.00801675 0.00643103 0.00291633 0.        ],[ 0.04369611  0.04310966  0.04031384  0.02544264  0.00461748  0.00461735  0.         -0.00875494],0.5002875
abalone_1,DecisionTree,0.0,['impute_random' 'impute_mode' 'impute_kproto' 'impute_mice' 'impute_knn' 'impute_standard' 'impute_random_forest' 'impute_logistic_regression'],['impute_knn' 'impute_mice' 'impute_random' 'impute_logistic_regression' 'impute_random_forest' 'impute_mode' 'impute_kproto' 'impute_standard'],[ 0.01447009  0.00198446  0.00198446  0.00086381  0.00078983  0. -0.00086255 -0.0077966 ],[0.0171844  0.01640034 0.01594406 0.0136151  0.01090767 0.01088633 0.01076313 0.        ],0.4477375
abalone_1,LogisticRegression,0.125,['impute_mode' 'impute_kproto' 'impute_random' 'impute_standard' 'impute_mice' 'impute_knn' 'impute_random_forest' 'impute_logistic_regression'],['impute_random' 'impute_mice' 'impute_logistic_regression' 'impute_knn' 'impute_kproto' 'impute_mode' 'impute_random_forest' 'impute_standard'],[ 0.01268107  0.01268107  0.00188093  0.         -0.0022484  -0.00294314 -0.02133014 -0.02213585],[0.00877745 0.0083019  0.008206   0.00820476 0.00811675 0.00810429 0.00281407 0.        ],0.4477375
abalone_1,KNN,0.25,['impute_random' 'impute_mode' 'impute_kproto' 'impute_knn' 'impute_random_forest' 'impute_mice' 'impute_standard' 'impute_logistic_regression'],['impute_standard' 'impute_random' 'impute_kproto' 'impute_mode' 'impute_knn' 'impute_mice' 'impute_logistic_regression' 'impute_random_forest'],[ 0.0236724   0.01811596  0.01811596  0.01602009  0.01592927  0.01356988  0.         -0.01164053],[ 0.         -0.0197086  -0.02719714 -0.02729771 -0.02975711 -0.03014184 -0.03361462 -0.03378577],0.4477375
abalone_1,RandomForest,0.375,['impute_random' 'impute_mode' 'impute_knn' 'impute_kproto' 'impute_mice' 'impute_random_forest' 'impute_standard' 'impute_logistic_regression'],['impute_random' 'impute_mice' 'impute_knn' 'impute_kproto' 'impute_mode' 'impute_logistic_regression' 'impute_random_forest' 'impute_standard'],[ 0.0254647   0.01206034  0.00724109  0.00668895  0.00128626  0.00092135  0.         -0.00445454],[0.01081297 0.01059626 0.01051327 0.00857478 0.00837894 0.00621611 0.00581214 0.        ],0.4477375
