dataset,model,ranking_eval,ranking_real,ranking_pred,value_real,value_pred,perc_completeness
abalone_0,DecisionTree,0.2222222222222222,['impute_random_forest' 'impute_mice' 'impute_linear_regression' 'impute_knn' 'impute_random' 'impute_cmeans' 'impute_median' 'impute_standard' 'impute_mean'],['impute_random' 'impute_random_forest' 'impute_linear_regression' 'impute_mice' 'impute_cmeans' 'impute_knn' 'impute_median' 'impute_mean' 'impute_standard'],[ 0.03070432  0.02607953  0.02265316  0.01942861  0.01392419  0.01067964  0.01001938  0.         -0.00014638],[0.02383525 0.01437308 0.01125935 0.00661402 0.00566812 0.00523571 0.00492445 0.00223441 0.        ],0.4976624999999999
abalone_0,LogisticRegression,0.2222222222222222,['impute_standard' 'impute_random' 'impute_knn' 'impute_mice' 'impute_linear_regression' 'impute_random_forest' 'impute_cmeans' 'impute_median' 'impute_mean'],['impute_standard' 'impute_random' 'impute_linear_regression' 'impute_random_forest' 'impute_median' 'impute_cmeans' 'impute_mice' 'impute_mean' 'impute_knn'],[ 0.         -0.23398274 -0.37743141 -0.4134942  -0.41385787 -0.41387669 -0.41478931 -0.41738667 -0.44196057],[ 0.         -0.02209963 -0.0533367  -0.05492879 -0.05658157 -0.05683251 -0.05814093 -0.05958008 -0.06168743],0.4976624999999999
abalone_0,KNN,0.2222222222222222,['impute_random' 'impute_median' 'impute_cmeans' 'impute_standard' 'impute_linear_regression' 'impute_random_forest' 'impute_mice' 'impute_knn' 'impute_mean'],['impute_random' 'impute_standard' 'impute_cmeans' 'impute_random_forest' 'impute_mean' 'impute_knn' 'impute_linear_regression' 'impute_mice' 'impute_median'],[ 0.01583655  0.01346927  0.00908221  0.         -0.00387467 -0.00488896 -0.00636122 -0.0134083  -0.02979386],[ 0.00063991  0.         -0.00879429 -0.0094386  -0.00996106 -0.01126687 -0.0114059  -0.01178256 -0.01446567],0.4976624999999999
abalone_0,RandomForest,0.2222222222222222,['impute_random_forest' 'impute_linear_regression' 'impute_knn' 'impute_mice' 'impute_standard' 'impute_random' 'impute_cmeans' 'impute_mean' 'impute_median'],['impute_random' 'impute_random_forest' 'impute_linear_regression' 'impute_knn' 'impute_mean' 'impute_mice' 'impute_cmeans' 'impute_standard' 'impute_median'],[ 0.00589609  0.00329654  0.00029558  0.00017234  0.         -0.00467701 -0.01408692 -0.01661304 -0.01820778],[ 1.97182086e-02  1.47554093e-02  7.14014888e-03  5.08074143e-03  4.18086553e-03  4.03633683e-03  2.75842265e-03  0.00000000e+00 -9.51589576e-05],0.4976624999999999
abalone_0,AdaBoost,0.1111111111111111,['impute_random' 'impute_mean' 'impute_median' 'impute_standard' 'impute_cmeans' 'impute_knn' 'impute_random_forest' 'impute_mice' 'impute_linear_regression'],['impute_random' 'impute_random_forest' 'impute_mice' 'impute_cmeans' 'impute_linear_regression' 'impute_mean' 'impute_median' 'impute_standard' 'impute_knn'],[ 0.09197582  0.04205157  0.03069223  0.         -0.02280938 -0.03182608 -0.03922956 -0.04008348 -0.04035423],[ 0.02381311  0.00779042  0.00721201  0.00505748  0.00498773  0.00179523  0.00016279  0.         -0.00294167],0.4976624999999999
abalone_0,SVC,0.2222222222222222,['impute_standard' 'impute_linear_regression' 'impute_mice' 'impute_random_forest' 'impute_knn' 'impute_random' 'impute_mean' 'impute_cmeans' 'impute_median'],['impute_random' 'impute_standard' 'impute_mean' 'impute_random_forest' 'impute_linear_regression' 'impute_mice' 'impute_median' 'impute_cmeans' 'impute_knn'],[ 0.         -0.09037274 -0.09436877 -0.09597187 -0.10179958 -0.13990901 -0.15886981 -0.18070595 -0.18308078],[ 0.00561707  0.         -0.00778523 -0.00877258 -0.00877644 -0.0091906 -0.00972841 -0.01003094 -0.01458166],0.4976624999999999
abalone_1,DecisionTree,0.1111111111111111,['impute_random' 'impute_knn' 'impute_random_forest' 'impute_mice' 'impute_linear_regression' 'impute_standard' 'impute_mean' 'impute_median' 'impute_cmeans'],['impute_random' 'impute_random_forest' 'impute_linear_regression' 'impute_knn' 'impute_mice' 'impute_cmeans' 'impute_median' 'impute_mean' 'impute_standard'],[ 0.05203164  0.0385346   0.02843408  0.0282479   0.0255826   0. -0.00049223 -0.00526431 -0.00529817],[0.0257694  0.01959072 0.01052509 0.01034961 0.00744883 0.00466619 0.00389161 0.00258029 0.        ],0.4523375
abalone_1,LogisticRegression,0.3333333333333333,['impute_standard' 'impute_random' 'impute_knn' 'impute_median' 'impute_mean' 'impute_random_forest' 'impute_linear_regression' 'impute_mice' 'impute_cmeans'],['impute_standard' 'impute_random' 'impute_random_forest' 'impute_linear_regression' 'impute_knn' 'impute_cmeans' 'impute_median' 'impute_mice' 'impute_mean'],[ 0.         -0.19620295 -0.38070344 -0.39976969 -0.40670171 -0.42572897 -0.42615882 -0.42705446 -0.44140534],[ 0.         -0.02328491 -0.04108781 -0.04587444 -0.04762854 -0.04805779 -0.04952547 -0.04961943 -0.05142758],0.4523375
abalone_1,KNN,0.1111111111111111,['impute_random' 'impute_linear_regression' 'impute_standard' 'impute_cmeans' 'impute_median' 'impute_knn' 'impute_mice' 'impute_random_forest' 'impute_mean'],['impute_standard' 'impute_random' 'impute_random_forest' 'impute_mean' 'impute_cmeans' 'impute_knn' 'impute_linear_regression' 'impute_mice' 'impute_median'],[ 0.02535516  0.00538289  0.         -0.00140642 -0.0047554  -0.00495471 -0.00991607 -0.01419603 -0.02250923],[ 0.00000000e+00 -7.47063044e-05 -1.44647493e-02 -1.57471020e-02 -1.61065944e-02 -1.72303173e-02 -1.72493128e-02 -1.80361334e-02 -1.93144197e-02],0.4523375
abalone_1,RandomForest,0.4444444444444444,['impute_random' 'impute_knn' 'impute_linear_regression' 'impute_random_forest' 'impute_mice' 'impute_median' 'impute_cmeans' 'impute_mean' 'impute_standard'],['impute_random' 'impute_random_forest' 'impute_linear_regression' 'impute_knn' 'impute_mice' 'impute_mean' 'impute_cmeans' 'impute_standard' 'impute_median'],[0.04066979 0.02261072 0.01428916 0.01418965 0.0132959  0.00887963 0.0071981  0.0015106  0.        ],[ 0.02056963  0.01401719  0.00651629  0.00387664  0.00357936  0.00299522  0.00262291  0.         -0.00045055],0.4523375
