dataset,model,dimension,real,pred
abalone_0,DecisionTree,completeness,0.765890181407134,0.9265876485860981
abalone_1,DecisionTree,completeness,0.8053379563384074,0.8985107751245643
abalone_2,DecisionTree,completeness,0.8404174205564185,0.9021727210034972
abalone_3,DecisionTree,completeness,0.9017266613544852,0.906498152631729
abalone_4,DecisionTree,completeness,0.9903257840671819,0.911735944817002
abalone_0,DecisionTree,accuracy,0.8106511282521532,0.7175772279689715
abalone_1,DecisionTree,accuracy,0.7810622544812561,0.7638223921976665
abalone_2,DecisionTree,accuracy,0.8831425495078213,0.8279057560739752
abalone_3,DecisionTree,accuracy,0.9207893144757318,0.8987556944784124
abalone_4,DecisionTree,accuracy,0.9490897596752413,0.9512572184296993
abalone_0,LogisticRegression,completeness,0.8295776106439344,0.9396975267125948
abalone_1,LogisticRegression,completeness,0.8253344185634187,0.8895557882120025
abalone_2,LogisticRegression,completeness,0.8846093533483669,0.9113803947438377
abalone_3,LogisticRegression,completeness,0.9102913843935933,0.9020180186955178
abalone_4,LogisticRegression,completeness,0.9431775621144095,0.9050324211694879
abalone_0,LogisticRegression,accuracy,0.5991328674038504,0.6239898487819725
abalone_1,LogisticRegression,accuracy,0.5543885050902344,0.6168332532025353
abalone_2,LogisticRegression,accuracy,0.6124985829584103,0.6365443718324671
abalone_3,LogisticRegression,accuracy,0.6349797488177249,0.7108730973932454
abalone_4,LogisticRegression,accuracy,0.8365127022809076,0.800664532958824
abalone_0,KNN,completeness,0.8571174518932149,0.9337787585342162
abalone_1,KNN,completeness,0.8986662674977565,0.9403198672482268
abalone_2,KNN,completeness,0.9711894389471739,0.9394851172526344
abalone_3,KNN,completeness,0.9502161535720955,0.9442412252009277
abalone_4,KNN,completeness,1.0025838787552435,0.9508327706765071
abalone_0,KNN,accuracy,0.6565121750449107,0.5918560888249581
abalone_1,KNN,accuracy,0.6980331548428353,0.6172336570384006
abalone_2,KNN,accuracy,0.6490688874672674,0.7349749267576672
abalone_3,KNN,accuracy,0.8175919803774273,0.833940603920028
abalone_4,KNN,accuracy,0.8316749755446088,0.8606998761501031
abalone_0,RandomForest,completeness,0.8773875473704221,0.945963558660759
abalone_1,RandomForest,completeness,0.8401239423221483,0.9156096259117262
abalone_2,RandomForest,completeness,0.8647565687296029,0.9259814120593604
abalone_3,RandomForest,completeness,0.862503565145031,0.9180256271311219
abalone_4,RandomForest,completeness,0.9318387290122864,0.9260078297125333
abalone_0,RandomForest,accuracy,0.7859896343067929,0.7691390629293916
