dataset,model,ranking_eval,ranking_real,ranking_pred,value_real,value_pred
abalone_0,DecisionTree,0.0,['completeness' 'accuracy'],['accuracy' 'completeness'],[0.76589018 0.81065113],[0.71757723 0.92658765]
abalone_0,LogisticRegression,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.59913287 0.82957761],[0.62398985 0.93969753]
abalone_0,KNN,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.65651218 0.85711745],[0.59185609 0.93377876]
abalone_0,RandomForest,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.78598963 0.87738755],[0.76913906 0.94596356]
abalone_0,AdaBoost,0.0,['completeness' 'accuracy'],['accuracy' 'completeness'],[0.71600238 0.84769537],[0.84821748 0.86591785]
abalone_0,SVC,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.78654145 0.88888754],[0.56127518 0.90287278]
abalone_1,DecisionTree,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.78106225 0.80533796],[0.76382239 0.89851078]
abalone_1,LogisticRegression,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.55438851 0.82533442],[0.61683325 0.88955579]
abalone_1,KNN,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.69803315 0.89866627],[0.61723366 0.94031987]
abalone_1,RandomForest,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.78664586 0.84012394],[0.80908221 0.91560963]
abalone_1,AdaBoost,0.0,['completeness' 'accuracy'],['accuracy' 'completeness'],[0.71686303 0.86271963],[0.8302403  0.95979445]
abalone_1,SVC,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.75454672 0.92763188],[0.53338643 0.7929046 ]
abalone_2,DecisionTree,0.0,['completeness' 'accuracy'],['accuracy' 'completeness'],[0.84041742 0.88314255],[0.82790576 0.90217272]
abalone_2,LogisticRegression,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.61249858 0.88460935],[0.63654437 0.91138039]
abalone_2,KNN,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.64906889 0.97118944],[0.73497493 0.93948512]
abalone_2,RandomForest,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.81560328 0.86475657],[0.88120783 0.92598141]
abalone_2,AdaBoost,0.0,['accuracy' 'completeness'],['completeness' 'accuracy'],[0.71694682 0.84018426],[0.87604969 0.89995697]
abalone_2,SVC,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.81885206 0.9875445 ],[0.56538044 0.84799327]
abalone_3,DecisionTree,0.0,['completeness' 'accuracy'],['accuracy' 'completeness'],[0.90172666 0.92078931],[0.89875569 0.90649815]
abalone_3,LogisticRegression,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.63497975 0.91029138],[0.7108731  0.90201802]
abalone_3,KNN,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.81759198 0.95021615],[0.8339406  0.94424123]
abalone_3,RandomForest,0.0,['accuracy' 'completeness'],['completeness' 'accuracy'],[0.85665293 0.86250357],[0.91802563 0.92340864]
abalone_3,AdaBoost,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.90620525 0.94521209],[0.9486093  0.96652844]
abalone_3,SVC,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.78863569 0.99910367],[0.66777106 0.81640055]
abalone_4,DecisionTree,0.0,['accuracy' 'completeness'],['completeness' 'accuracy'],[0.94908976 0.99032578],[0.91173594 0.95125722]
abalone_4,LogisticRegression,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.8365127  0.94317756],[0.80066453 0.90503242]
abalone_4,KNN,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.83167498 1.00258388],[0.86069988 0.95083277]
abalone_4,RandomForest,0.0,['accuracy' 'completeness'],['completeness' 'accuracy'],[0.85922217 0.93183873],[0.92600783 0.95626647]
abalone_4,AdaBoost,0.0,['accuracy' 'completeness'],['completeness' 'accuracy'],[0.82241864 0.98525708],[0.97235892 0.98587435]
abalone_4,SVC,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.73708715 1.07678592],[0.74867162 0.82607856]
BachChoralHarmony_0,DecisionTree,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.49871793 0.49895417],[0.71939505 0.90010817]
BachChoralHarmony_0,LogisticRegression,0.0,['completeness' 'accuracy'],['accuracy' 'completeness'],[0.67975679 0.71160472],[0.52331591 0.89966933]
BachChoralHarmony_0,KNN,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.37278631 0.5258634 ],[0.56427729 0.92470287]
BachChoralHarmony_0,RandomForest,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.54996539 0.58933682],[0.77596512 0.92146858]
BachChoralHarmony_0,AdaBoost,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.55401572 0.70650177],[0.81925827 0.92128406]
BachChoralHarmony_0,SVC,0.0,['completeness' 'accuracy'],['accuracy' 'completeness'],[0.58549451 0.60313034],[0.47180238 0.81145699]
BachChoralHarmony_1,DecisionTree,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.61173701 0.61851562],[0.81785639 0.87893496]
BachChoralHarmony_1,LogisticRegression,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.72247742 0.73040332],[0.60729585 0.87220339]
BachChoralHarmony_1,KNN,1.0,['accuracy' 'completeness'],['accuracy' 'completeness'],[0.41572939 0.63433558],[0.69376329 0.9177361 ]
