_HarmonicChangeDetectionFunction_Std,_HarmonicChangeDetectionFunction_PeriodAmp,_Zero-crossingrate_Mean,_Fluctuation_Mean,acustic
261,593,403.129,9.136,relax
211,702,204.886,6.68,relax
299,692,685.474,10.578,relax
265,743,579.859,10.442,relax
261,674,430.536,9.769,relax
240,662,799.914,7.664,relax
174,691,323.755,7.483,relax
267,711,478.257,7.006,relax
210,796,402.43,6.846,relax
340,627,826.605,8.668,relax
210,807,402.879,6.85,relax
235,812,874.842,8.774,relax
238,765,551.174,5.928,relax
340,667,657.362,8.58,relax
256,643,1022.417,6.203,relax
192,741,560.395,8.026,relax
229,758,520.1,7.122,relax
222,780,1302.348,7.115,relax
240,689,611.246,6.449,relax
201,747,1030.661,7.155,relax
210,771,472.729,7.344,relax
201,807,1829.275,5.49,relax
300,544,432.268,6.282,relax
229,754,1055.419,5.938,relax
211,801,606.234,7.76,relax
218,667,453.897,5.944,relax
171,736,420.379,6.184,relax
271,622,502.683,7.976,relax
199,789,585.915,8.807,relax
295,689,503.682,10.02,relax
193,649,379.685,6.287,relax
189,787,468.466,9.588,relax
284,689,338.624,8.34,relax
245,598,252.757,5.388,relax
278,618,328.334,7.724,relax
243,754,413.502,6.354,relax
232,711,570.578,6.565,relax
236,632,856.26,9.537,relax
206,757,551.969,9.942,relax
269,530,937.216,10.837,relax
243,703,357.44,6.921,relax
206,773,750.445,5.879,relax
229,652,905.879,6.686,relax
235,737,853.779,8.958,relax
230,758,974.613,9.297,relax
228,782,729.132,6.055,relax
267,735,585.154,7.448,relax
293,652,1021.485,8.487,relax
255,698,769.061,6.072,relax
240,666,678.997,6.613,relax
236,764,383.498,6.03,relax
173,812,1331.508,7.913,relax
281,757,779.534,5.593,relax
281,757,779.534,5.593,relax
247,645,558.696,9.556,relax
278,555,721.24,10.126,relax
183,810,613.344,7.238,relax
249,704,801.096,8.56,relax
205,765,802.455,6.382,relax
268,589,425.225,15.541,relax
268,589,425.225,15.541,relax
237,737,404.711,8.212,relax
327,637,391.616,7.711,relax
197,705,398.533,6.666,relax
229,629,766.813,6.237,relax
235,652,628.296,8.114,relax
263,748,309.935,6.464,relax
263,748,309.935,6.464,relax
210,792,1092.833,9.05,relax
209,760,640.584,7.668,relax
207,781,896.754,9.919,relax
210,742,712.831,9.673,relax
191,801,555.183,8.525,relax
254,691,640.817,6.149,relax
212,769,1109.467,6.69,relax
261,741,417.515,6.892,relax
215,688,307.188,7.025,relax
246,661,538.266,6.424,relax
258,666,1064.06,9.572,relax
292,682,610.746,7.245,relax
185,746,322.673,8.957,relax
249,654,1055.169,6.341,relax
237,654,459.308,6.988,relax
230,736,374.273,8.45,relax
217,767,326.436,7.844,relax
212,677,469.648,5.742,relax
177,733,1012.693,6.745,relax
226,723,1016.24,6.718,relax
237,722,853.047,17.573,relax
244,548,550.321,6.758,relax
249,645,561.71,9.551,relax
210,725,936.266,6.579,relax
249,620,631.464,8.454,relax
