x-ege,y2bar,y-ege,xy2br,letter
0.1,6,0.2,8.2,T
2.0,5,4.0,5.0,P
2.0,4,7.0,8.0,X
1.0,5,1.0,8.0,Y
2.0,7,4.0,14.0,C
3.0,8,5.0,10.0,E
2.0,10,6.0,8.0,X
8.0,5,3.0,9.0,M
6.0,5,8.0,8.0,B
1.0,8,3.0,11.0,C
1.0,9,5.0,8.0,Z
1.0,5,4.0,4.0,P
5.0,2,3.0,9.0,W
3.0,4,0.0,8.0,U
1.0,5,3.0,6.0,F
3.0,4,5.0,7.0,R
2.0,7,8.0,7.0,B
3.0,6,3.0,11.0,K
2.0,9,4.0,8.0,E
6.0,2,4.0,8.0,V
3.0,2,3.0,8.0,A
2.0,8,4.0,9.0,E
6.0,6,2.0,5.0,N
3.0,2,3.0,7.0,A
0.0,9,6.0,14.0,E
3.0,3,14.0,7.0,Z
3.0,5,2.0,8.0,H
0.0,5,0.0,10.0,J
2.0,9,7.0,8.0,Z
8.0,4,6.0,8.0,P
6.0,3,6.0,7.0,Y
6.0,2,0.0,9.0,W
3.0,8,2.0,9.0,U
1.0,7,2.0,4.0,Y
3.0,1,6.0,11.0,Q
2.0,3,1.0,9.0,V
3.0,8,6.0,6.0,X
0.0,4,0.0,8.0,I
1.0,10,6.0,9.0,Z
7.0,4,0.0,7.0,N
1.0,3,0.0,8.0,Y
4.0,6,5.0,4.0,Y
3.0,5,0.0,8.0,U
2.0,2,3.0,8.0,A
3.0,9,7.0,9.0,Z
3.0,6,3.0,7.0,O
2.0,4,5.0,8.0,R
1.0,6,1.0,5.0,T
6.0,4,8.0,8.0,B
1.0,5,1.0,5.0,Y
1.0,4,0.0,13.0,J
5.0,7,1.0,7.0,T
3.0,6,5.0,9.0,Q
1.0,8,3.0,12.0,C
4.0,5,6.0,7.0,Q
2.0,8,6.0,9.0,G
1.0,8,5.0,9.0,C
1.0,6,3.0,10.0,L
3.0,3,6.0,11.0,Q
3.0,7,4.0,11.0,K
1.0,1,3.0,4.0,P
2.0,6,3.0,5.0,D
6.0,5,5.0,6.0,U
2.0,2,3.0,7.0,A
2.0,7,7.0,6.0,B
2.0,1,0.0,8.0,Y
3.0,7,3.0,5.0,D
3.0,2,5.0,10.0,Q
8.0,2,0.0,8.0,M
6.0,7,10.0,9.0,D
3.0,4,0.0,8.0,U
3.0,5,3.0,8.0,H
0.0,6,0.0,9.0,J
1.0,9,6.0,8.0,Z
2.0,1,1.0,8.0,A
1.0,10,4.0,13.0,C
8.0,5,3.0,10.0,M
1.0,3,2.0,4.0,P
0.0,7,8.0,6.0,S
1.0,7,1.0,5.0,L
1.0,7,1.0,6.0,L
3.0,6,4.0,6.0,R
1.0,7,3.0,6.0,Y
10.0,5,8.0,8.0,M
7.0,5,10.0,9.0,R
3.0,7,3.0,12.0,K
2.0,5,4.0,9.0,G
8.0,1,0.0,8.0,W
3.0,6,4.0,5.0,D
2.0,8,6.0,8.0,E
2.0,3,2.0,8.0,O
1.0,7,2.0,8.0,Y
0.0,14,8.0,8.0,Z
3.0,6,2.0,9.0,K
3.0,5,5.0,5.0,Y
2.0,6,4.0,6.0,B
5.0,5,4.0,6.0,Y
7.0,4,5.0,9.0,N
2.0,3,3.0,9.0,Q
11.0,4,3.0,9.0,M
2.0,5,3.0,5.0,F
5.0,5,5.0,7.0,D
2.0,7,1.0,8.0,T
5.0,2,4.0,10.0,G
2.0,5,4.0,6.0,B
2.0,7,5.0,6.0,J
0.0,6,2.0,9.0,F
3.0,4,4.0,8.0,X
4.0,3,7.0,10.0,E
1.0,11,4.0,12.0,C
1.0,5,7.0,7.0,B
0.0,8,0.0,8.0,J
2.0,5,2.0,7.0,Y
1.0,4,2.0,5.0,F
3.0,5,1.0,8.0,T
6.0,6,6.0,9.0,T
7.0,3,2.0,9.0,W
