f_47,f_25,f_4,f_11,oil
33243.19,132.78,456.63,214.7,1
51572.04,132.78,841.03,901.7,0
31692.84,132.78,608.43,86.1,1
37696.21,132.78,295.65,166.5,1
29038.17,132.78,440.86,232.8,0
30967.25,132.78,544.91,86.0,1
31258.37,132.78,580.94,79.2,1
51985.06,132.78,715.39,78.7,0
28871.82,132.78,456.23,126.3,1
32053.95,132.78,274.88,86.5,1
55128.46,132.78,1507.76,81.9,1
4530.75,351.67,1409.43,178.4,0
4927.51,351.67,1357.96,317.7,0
4732.04,351.67,1633.02,264.5,0
25579.34,351.67,630.8,427.4,1
28172.07,351.67,469.39,496.7,1
5514.48,351.67,1386.03,488.0,0
4535.86,351.67,1464.7,199.0,0
6165.56,351.67,1281.72,167.8,0
4236.17,351.67,1345.04,245.3,0
4084.14,351.67,1713.0,342.2,0
4402.7,351.67,1430.22,191.8,0
6602.97,351.67,1363.74,236.5,0
5500.47,351.67,1416.49,214.3,0
3792.61,351.67,1627.11,155.4,0
6334.81,351.67,1749.68,223.5,0
3508.48,351.67,1545.25,187.7,0
5267.92,351.67,1141.62,215.6,0
6298.61,351.67,995.74,69.1,0
4663.21,351.67,1238.7,94.6,0
4363.75,351.67,1159.03,111.9,0
3750.66,351.67,1270.0,157.1,0
5028.26,351.67,1677.66,120.0,0
5002.58,351.67,1411.43,122.3,0
6065.61,351.67,1032.26,190.0,0
9605.98,351.67,1320.34,121.0,0
3378.6,351.67,1492.58,81.7,0
3347.77,351.67,1553.88,138.9,0
4855.64,351.67,1370.24,90.1,0
10059.87,351.67,1452.55,88.6,0
4511.47,351.67,1552.94,93.5,0
6013.52,351.67,1365.38,182.3,0
3643.42,351.67,1441.59,150.8,0
13805.4,351.67,765.93,102.5,0
4849.13,351.67,1136.15,81.7,0
10269.23,351.67,1535.17,125.2,0
5604.15,351.67,1316.32,57.6,0
28201.78,351.67,1779.17,104.0,0
12416.91,351.67,1187.15,75.6,0
4216.81,351.67,1341.12,165.6,0
5149.36,351.67,1055.45,68.6,0
4270.33,351.67,1189.31,128.0,0
3521.39,351.67,1602.01,85.4,0
3668.15,351.67,1245.62,113.3,0
6783.44,351.67,961.28,191.1,0
6118.39,351.67,1320.8,81.9,0
