alcohol,sulphates,total sulfur dioxide,volatile acidity,qualityred
9.4,0.56,34.0,0.7,5
9.8,0.68,67.0,0.88,5
9.8,0.65,54.0,0.76,5
9.8,0.58,60.0,0.28,6
9.4,0.56,34.0,0.7,5
9.4,0.56,40.0,0.66,5
9.4,0.46,59.0,0.6,5
10.0,0.47,21.0,0.65,7
9.5,0.57,18.0,0.58,7
10.5,0.8,102.0,0.5,5
9.2,0.54,65.0,0.58,5
10.5,0.8,102.0,0.5,5
9.9,0.52,59.0,615.0,5
9.1,1.56,29.0,0.61,5
9.2,0.88,145.0,0.62,5
9.2,0.93,148.0,0.62,5
10.5,0.75,103.0,0.28,7
9.3,1.28,56.0,0.56,5
9.0,0.5,29.0,0.59,4
9.2,1.08,56.0,0.32,6
9.4,0.53,60.0,0.22,6
9.7,0.65,71.0,0.39,5
9.5,0.91,37.0,0.43,5
9.4,0.53,67.0,0.49,5
9.7,0.63,40.0,0.4,6
9.3,0.56,23.0,0.39,5
9.5,0.59,11.0,0.41,5
9.5,0.91,37.0,0.43,5
9.4,0.55,35.0,0.71,5
9.8,0.59,16.0,645.0,6
10.1,0.54,82.0,675.0,5
10.6,0.57,37.0,685.0,6
9.8,0.66,113.0,655.0,5
9.4,0.52,83.0,605.0,6
9.2,0.55,50.0,0.32,5
9.6,0.55,18.0,645.0,6
10.8,0.6,15.0,0.6,6
9.7,0.73,30.0,0.38,7
9.8,0.48,19.0,1.13,4
10.5,0.83,87.0,0.45,5
10.5,0.83,87.0,0.45,5
9.3,0.51,46.0,0.61,4
10.5,0.9,14.0,0.49,6
10.3,1.2,23.0,0.66,5
9.5,0.52,11.0,0.67,5
13.1,0.56,65.0,0.52,4
9.2,0.73,114.0,935.0,5
9.5,0.58,37.0,0.29,5
9.2,0.56,12.0,0.4,5
9.2,0.58,96.0,0.31,5
9.2,0.74,23.0,0.66,5
9.4,0.63,15.0,0.52,6
9.4,0.64,14.0,0.5,6
9.4,0.56,119.0,0.38,5
10.2,0.63,73.0,0.51,6
9.5,0.53,45.0,0.62,5
9.6,0.63,10.0,0.42,5
9.4,0.77,110.0,0.63,5
10.0,0.59,54.0,0.59,5
9.4,0.54,46.0,0.39,6
9.2,0.64,52.0,0.4,5
9.3,0.71,112.0,0.69,5
9.5,0.62,35.0,0.52,7
9.8,0.57,54.0,735.0,5
10.9,0.39,11.0,725.0,5
10.9,0.39,11.0,725.0,5
9.6,0.58,39.0,0.52,5
10.7,0.58,15.0,705.0,5
10.7,0.79,65.0,0.32,5
10.5,0.95,19.0,705.0,6
9.5,0.54,27.0,0.63,6
9.5,0.48,96.0,0.67,5
9.5,0.48,94.0,0.69,5
9.2,0.53,43.0,675.0,4
9.6,0.82,83.0,0.32,5
10.5,0.66,42.0,0.41,5
10.5,0.66,42.0,0.41,5
10.7,0.55,30.0,785.0,6
10.1,0.52,80.0,0.75,5
9.1,1.12,119.0,625.0,4
9.2,0.56,15.0,0.45,5
9.4,1.28,67.0,0.43,5
9.1,0.57,73.0,0.5,5
9.4,1.14,51.0,0.67,5
10.3,0.78,61.0,0.3,6
10.1,0.59,40.0,0.55,5
9.9,1.95,136.0,0.49,6
9.6,0.64,31.0,0.49,5
9.5,1.22,125.0,0.39,5
9.0,0.53,24.0,0.62,5
9.5,0.54,140.0,0.52,5
9.9,1.95,136.0,0.49,6
9.8,1.98,133.0,0.49,5
9.6,0.64,31.0,0.49,5
10.5,0.48,85.0,1.02,4
12.9,0.6,106.0,0.6,6
10.7,0.56,23.0,775.0,5
9.2,0.63,22.0,0.5,5
9.8,0.56,10.0,0.9,5
9.0,0.59,35.0,545.0,6
10.2,0.61,50.0,0.61,6
10.4,0.56,22.0,0.5,6
9.0,0.59,35.0,545.0,6
9.2,0.51,65.0,575.0,5
9.4,0.48,36.0,0.49,5
9.2,0.51,65.0,575.0,5
9.3,1.31,69.0,0.41,5
9.3,0.79,64.0,0.63,5
9.6,0.8,80.0,0.33,6
9.3,0.69,153.0,785.0,5
9.5,0.93,47.0,0.56,5
9.8,0.66,108.0,0.62,5
9.8,0.66,111.0,0.6,5
9.7,0.67,46.0,0.31,6
9.5,0.93,47.0,0.56,5
10.5,0.63,62.0,0.4,6
10.0,0.61,40.0,0.54,6
9.4,0.5,28.0,0.56,6
10.9,0.6,56.0,0.55,6
9.2,0.54,89.0,0.69,6
9.0,0.57,89.0,1.07,5
10.9,0.6,56.0,0.55,6
9.2,0.52,13.0,695.0,5
9.5,0.53,34.0,0.71,5
9.5,0.48,102.0,0.5,5
9.4,0.7,90.0,0.62,5
10.9,0.49,12.0,1.33,5
10.9,0.48,12.0,1.33,5
10.5,0.92,16.0,0.59,7
9.4,0.57,19.0,0.38,5
9.4,0.66,134.0,745.0,5
13.0,0.63,99.0,0.5,5
13.0,0.63,99.0,0.5,5
9.8,0.58,26.0,0.5,6
9.9,0.55,29.0,1.04,6
9.6,0.82,63.0,745.0,5
9.5,0.77,52.0,715.0,5
9.2,0.64,45.0,415.0,5
9.5,0.54,105.0,0.56,5
9.5,0.54,108.0,0.56,5
9.6,0.82,63.0,745.0,5
9.5,0.77,52.0,715.0,5
14.0,0.79,63.0,0.34,6
9.4,0.58,20.0,0.39,5
14.0,0.79,63.0,0.34,6
9.4,0.62,141.0,0.67,5
10.0,0.52,94.0,0.68,5
9.3,0.8,88.0,0.49,5
10.2,0.58,30.0,0.49,6
10.5,0.61,43.0,0.4,6
10.3,0.53,11.0,0.33,6
9.4,2.0,69.0,0.52,4
10.1,0.54,99.0,0.6,5
10.1,0.54,99.0,0.6,5
10.5,0.72,129.0,0.43,5
10.5,0.71,128.0,0.43,5
10.5,0.72,129.0,0.43,5
10.5,0.71,128.0,0.43,5
9.3,0.5,22.0,0.68,5
9.3,0.57,86.0,0.6,6
9.6,0.56,20.0,0.95,5
9.2,1.08,20.0,0.68,4
10.0,0.56,31.0,0.53,6
9.4,0.49,121.0,0.6,5
9.4,0.49,121.0,0.59,5
9.5,0.62,96.0,0.63,5
10.2,0.52,101.0,0.64,5
9.0,0.48,42.0,0.55,4
10.4,0.55,44.0,0.63,6
9.5,1.59,63.0,705.0,5
9.1,0.33,8.0,885.0,4
9.2,0.61,18.0,0.42,6
9.2,0.61,18.0,0.42,6
11.5,0.57,42.0,0.62,6
9.5,0.47,35.0,0.38,5
9.5,0.78,49.0,0.5,5
9.5,0.47,35.0,0.38,5
10.5,0.61,38.0,0.52,6
9.6,0.56,20.0,805.0,5
9.5,0.59,42.0,0.61,5
9.5,0.59,42.0,0.61,5
