alcohol,density,volatile acidity,free sulfur dioxide,qualitywhite
8.8,1.001,0.27,45.0,6
9.5,994.0,0.3,14.0,6
10.1,0.9951,0.28,30.0,6
9.9,0.9956,0.23,47.0,6
9.9,0.9956,0.23,47.0,6
10.1,0.9951,0.28,30.0,6
9.6,0.9949,0.32,30.0,6
8.8,1.001,0.27,45.0,6
9.5,994.0,0.3,14.0,6
11.0,0.9938,0.22,28.0,6
12.0,0.9908,0.27,11.0,5
9.7,0.9947,0.23,17.0,5
10.8,992.0,0.18,16.0,5
12.4,0.9912,0.16,48.0,7
9.7,1.0002,0.42,41.0,5
11.4,0.9914,0.17,28.0,7
9.6,0.9928,0.48,30.0,6
12.8,0.9892,0.66,29.0,8
11.3,0.9917,0.34,17.0,6
9.5,0.9955,0.31,34.0,5
12.8,0.9892,0.66,29.0,8
11.0,0.9912,0.31,19.0,7
10.5,993.0,0.26,41.0,8
9.3,0.9937,0.67,25.0,5
10.0,0.9951,0.27,16.0,6
10.4,0.9955,0.25,56.0,6
10.0,993.0,0.24,35.0,6
10.5,0.9961,0.28,32.0,6
11.6,0.9914,0.27,17.0,6
12.3,0.9906,0.32,37.0,7
10.0,0.9974,0.24,20.0,6
10.2,0.9934,0.14,7.0,6
10.8,992.0,0.25,31.0,6
9.0,0.9939,0.12,43.0,6
10.2,0.9962,0.27,22.0,5
12.8,0.9905,0.28,21.0,5
10.0,0.9934,0.39,25.0,5
11.2,0.9906,0.33,38.0,6
8.6,0.9999,0.24,45.0,5
8.6,0.9999,0.24,45.0,5
9.4,0.9937,0.23,63.0,6
9.4,0.9937,0.24,63.0,6
9.8,0.9954,0.31,28.0,6
9.5,0.9934,0.24,33.0,6
9.5,0.9934,0.23,33.0,6
10.0,0.9931,0.18,38.0,7
9.8,994.0,0.45,63.0,4
9.8,0.9939,0.46,62.0,5
9.8,0.9954,0.31,28.0,6
9.8,995.0,0.19,32.0,5
11.7,0.9917,0.19,31.0,6
11.0,0.9914,0.25,39.0,7
10.9,991.0,0.16,21.0,7
10.9,0.9911,0.18,39.0,6
9.1,993.0,0.2,38.0,6
11.0,0.9908,0.25,29.0,6
9.6,0.9962,0.21,37.0,6
8.9,0.9972,0.19,50.0,6
10.2,0.9931,0.38,25.0,6
9.9,0.9926,0.2,44.0,6
8.6,0.9951,0.22,30.0,6
8.9,0.9972,0.19,50.0,6
10.5,991.0,0.47,17.0,5
10.2,0.9931,0.38,25.0,6
10.3,0.9927,0.24,31.0,6
9.1,0.9934,0.35,29.0,5
12.6,0.9903,0.26,27.0,7
9.8,992.0,0.25,81.0,5
10.7,0.9926,0.23,30.0,8
9.5,0.9962,0.24,21.0,5
9.0,0.9956,0.27,48.0,6
9.5,0.9958,0.3,50.5,5
10.0,0.9964,0.27,31.0,5
9.1,0.9941,0.23,9.0,6
10.7,0.9926,0.23,30.0,8
9.5,0.9962,0.24,21.0,5
12.7,0.9898,0.18,31.0,7
12.0,0.9912,0.32,20.0,7
9.3,0.9961,0.18,26.0,5
9.0,0.9949,0.54,21.0,5
10.6,0.9929,0.22,34.0,6
9.2,0.9985,0.2,51.0,6
10.0,0.9946,0.34,47.0,5
9.5,0.9966,0.22,42.0,6
8.7,0.9974,0.43,54.0,5
8.7,0.9975,0.44,52.0,6
8.7,0.9974,0.39,55.0,6
9.7,0.9972,0.25,69.0,6
8.7,0.9974,0.43,54.0,5
8.7,0.9975,0.44,52.0,6
8.7,0.9974,0.39,55.0,6
9.0,0.9957,0.27,65.0,5
12.6,0.99,0.24,47.0,7
12.6,0.9899,0.21,48.0,7
11.5,0.9916,0.17,51.0,7
9.2,0.9969,0.26,62.0,6
8.8,0.9979,0.34,26.0,6
11.4,0.9913,265.0,15.0,7
10.1,0.9956,0.36,4.0,4
8.8,0.9979,0.34,26.0,6
9.1,0.9975,0.25,52.0,5
9.4,0.9962,0.12,64.0,5
9.4,997.0,0.21,55.0,5
9.0,1.0,305.0,44.0,5
9.1,0.9975,0.25,52.0,5
9.2,0.9974,0.13,34.0,6
9.4,0.9962,0.12,64.0,5
9.1,999.0,0.23,60.0,6
9.1,999.0,0.23,60.0,6
10.3,0.9927,0.33,37.0,5
8.8,0.9959,0.17,64.0,6
8.9,1.0,0.27,45.0,5
9.2,0.9982,0.31,68.0,5
9.1,0.9968,0.41,29.0,5
9.1,0.9968,0.41,29.0,5
9.7,994.0,485.0,8.0,4
11.3,0.9914,0.31,25.0,6
11.8,0.9911,0.14,16.0,6
9.2,0.9982,0.31,68.0,5
9.2,0.9982,0.32,57.0,5
10.2,0.9934,0.36,21.0,5
8.8,0.9984,0.24,42.0,5
9.7,0.9952,0.16,31.0,5
9.1,0.9952,0.19,14.0,6
9.8,0.9928,0.13,40.0,6
11.0,0.9912,0.19,63.0,6
10.5,994.0,0.39,29.0,5
9.7,0.9958,0.24,48.0,7
10.9,0.9924,0.3,47.0,7
10.9,0.9924,0.3,46.0,6
10.6,994.0,0.26,7.0,5
9.7,0.9958,0.24,48.0,7
9.0,0.9979,425.0,59.0,5
9.2,0.9982,0.24,46.0,5
8.9,0.9961,0.27,55.0,5
9.6,0.9979,0.27,44.0,5
10.7,992.0,0.23,36.0,6
8.7,0.9975,0.37,49.0,5
10.8,0.9917,0.19,30.0,7
11.8,0.9923,0.28,18.0,6
10.2,0.9927,0.31,20.0,5
8.7,0.9975,0.37,49.0,5
10.8,992.0,0.21,38.0,6
9.7,0.9947,0.21,24.0,6
11.2,0.9921,0.2,19.0,6
10.9,0.9905,255.0,37.0,6
10.1,0.9918,0.16,53.0,6
9.0,0.9951,595.0,15.0,4
12.0,0.9917,0.34,19.0,7
9.4,994.0,0.25,23.0,6
11.5,0.9934,0.22,46.0,7
9.9,0.9968,0.18,58.0,6
9.4,994.0,0.25,23.0,6
10.4,0.9919,0.18,41.0,5
9.7,0.9966,0.23,12.0,6
8.9,0.9979,0.24,48.0,6
8.9,0.9979,0.24,48.0,6
12.4,0.9898,0.32,38.0,7
12.1,0.9894,0.44,43.0,8
12.1,0.9894,0.44,43.0,8
12.4,0.9898,0.32,38.0,7
