name,n_tuples,n_attributes,p_num_var,p_cat_var,p_duplication
abalone,4177,9,0.89,0.11,0.0
stars,240,7,0.71,0.29,0.0
bank,3074,17,0.41,0.59,0.0
soybean,249,36,0.0,1.0,0.01
ringnorm,7400,21,1.0,0.0,0.0
Run_or_walk_information,88588,7,1.0,0.0,0.0
default of credit card clients,30000,25,1.0,0.0,0.0
phoneme,5404,6,1.0,0.0,0.0
visualizing_soil,8641,5,0.8,0.2,0.0
cancer,683,10,1.0,0.0,0.34
numerai28.6,96320,22,1.0,0.0,0.0
fried,40768,11,0.91,0.09,0.0
car,1728,7,0.0,1.0,0.0
letter,2001,17,0.94,0.06,0.01
shuttle,58000,10,1.0,0.0,0.0
german,1000,10,0.4,0.6,0.0
iris,150,5,1.0,0.0,0.02
wall-robot-navigation,5456,5,1.0,0.0,0.01
drug,200,6,0.33,0.67,0.0
house,501,75,0.48,0.52,0.0
frogs,7195,23,0.96,0.04,0.0
nursery,12960,9,0.0,1.0,0.0
BachChoralHarmony,5665,17,0.12,0.88,0.0
mv,40768,11,0.64,0.36,0.0
mushrooms,4021,23,0.0,1.0,0.0
electricity-normalized,45312,9,0.89,0.11,0.0
diabetic,5012,46,0.28,0.72,0.0
