dataset,name,perc,mean,median
character,Strength,50,8.715545376263115,9.006551701204735
character,Intelligence,50,8.70673006429871,8.99742779179408
character,Strength,60,8.715064886944688,9.004833698963886
character,Intelligence,60,8.707648583169442,8.99770889543157
character,Strength,70,8.720881761083557,9.008284275687176
character,Intelligence,70,8.713764222376113,9.00225092831155
character,Strength,80,8.736938891903627,9.02072249030014
character,Intelligence,80,8.733480543387511,9.017898894406946
character,Strength,90,8.789605012279006,9.06286927294671
character,Intelligence,90,8.791829946670594,9.064498935225556
consumer,CustomerAge,50,8.889210107593554,9.179290361433017
consumer,CustomerSatisfaction,50,8.349459001032626,8.64341520061995
consumer,CustomerAge,60,8.878748089472802,9.168581162437915
consumer,CustomerSatisfaction,60,8.350573764633678,8.64420641632358
consumer,CustomerAge,70,8.870694263266353,9.16009435107515
consumer,CustomerSatisfaction,70,8.352343174919847,8.645470943987135
consumer,CustomerAge,80,8.865117307551072,9.153655747302125
consumer,CustomerSatisfaction,80,8.356111076728828,8.64833945597909
consumer,CustomerAge,90,8.867040445905195,9.1528964621119
consumer,CustomerSatisfaction,90,8.36840607817643,8.658163308563479
galaxy,eastwest,50,11.51176983050578,11.621227711265105
galaxy,northsouth,50,7.252315358207154,7.39309842532837
galaxy,radialposition,50,6.834473547743759,6.98842381431916
galaxy,eastwest,60,12.117012982054773,12.220586820721955
galaxy,northsouth,60,8.17387354748853,8.261815638117705
galaxy,radialposition,60,7.063479028783277,7.22782672949112
galaxy,eastwest,70,12.717455096863974,12.690013379431736
galaxy,northsouth,70,8.194938270238053,8.193235500203281
galaxy,radialposition,70,7.334948612594946,7.356849277641625
galaxy,eastwest,80,13.199242476972284,13.16293503554638
galaxy,northsouth,80,8.577318739493572,8.46980191431441
galaxy,radialposition,80,8.15428995824352,8.05858033501963
galaxy,eastwest,90,14.437320271902484,14.331361729916344
galaxy,northsouth,90,9.394259891985165,9.31744974528496
galaxy,radialposition,90,9.881018544530512,9.78885628742059
heart,oldpeak,50,10.036182244166485,9.97131267646536
heart,oldpeak,60,10.0205075404011,10.045383811639503
heart,oldpeak,70,10.033766752512,10.039397540898896
heart,oldpeak,80,10.117496162647942,10.061435083967543
heart,oldpeak,90,10.778172226765674,10.71441671196312
pet,AgeMonths,50,15.624321295489096,15.56179604302687
pet,AgeMonths,60,16.01011341286814,15.870976549363336
pet,AgeMonths,70,16.39003331250675,16.18583313465376
pet,AgeMonths,80,17.010471809586008,16.757356529121825
pet,AgeMonths,90,17.845147640228475,17.544236219735325
weather,Temperature,50,7.957174413581717,7.999596226557475
weather,Precipitation,50,9.222557249965378,9.471262830549184
weather,AtmosphericPressure,50,10.393685760763464,10.541136323251283
weather,Temperature,60,9.192703099593038,9.300268462490866
weather,Precipitation,60,10.497044450924248,10.796851647308484
weather,AtmosphericPressure,60,10.858507801239886,11.05008716804292
weather,Temperature,70,9.765014073304435,9.70805261529796
weather,Precipitation,70,11.648986924957043,12.071338386805524
weather,AtmosphericPressure,70,12.092389749977002,12.388823867906854
weather,Temperature,80,10.156903037220244,10.21719590585567
weather,Precipitation,80,13.253048298068247,13.575834986563596
weather,AtmosphericPressure,80,13.378573553676608,13.409870525443385
weather,Temperature,90,11.44344027681207,11.426391703834746
weather,Precipitation,90,13.442954785155816,13.42372583120932
weather,AtmosphericPressure,90,14.747564643113916,15.123780257493555
