dataset,name,perc,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,mean,median
character,Strength,50,7.9623758333421755,7.9623758333421755,7.9623758333421755,7.9623758333421755,7.9623758333421755,7.9623758333421755,7.9623758333421755,8.11370391258022,8.11370391258022,8.11370391258022,8.11370391258022,8.11370391258022,8.11370391258022,8.11370391258022,9.006551701204735,9.006551701204735,9.006551701204735,9.006551701204735,9.006551701204735,9.006551701204735,9.006551701204735,9.23948360675142,9.23948360675142,9.23948360675142,9.23948360675142,9.23948360675142,9.23948360675142,9.23948360675142,9.255611827437026,9.255611827437026,9.255611827437026,9.255611827437026,9.255611827437026,9.255611827437026,9.255611827437026,8.715545376263115,9.006551701204735
character,Intelligence,50,7.95383862754961,7.95383862754961,7.95383862754961,7.95383862754961,7.95383862754961,7.95383862754961,7.95383862754961,8.10508403695458,8.10508403695458,8.10508403695458,8.10508403695458,8.10508403695458,8.10508403695458,8.10508403695458,8.99742779179408,8.99742779179408,8.99742779179408,8.99742779179408,8.99742779179408,8.99742779179408,8.99742779179408,9.23052006661617,9.23052006661617,9.23052006661617,9.23052006661617,9.23052006661617,9.23052006661617,9.23052006661617,9.246779798579114,9.246779798579114,9.246779798579114,9.246779798579114,9.246779798579114,9.246779798579114,9.246779798579114,8.70673006429871,8.99742779179408
character,Strength,60,7.963231398044971,7.963231398044971,7.963231398044971,7.963231398044971,7.963231398044971,7.963231398044971,7.963231398044971,8.114218547383684,8.114218547383684,8.114218547383684,8.114218547383684,8.114218547383684,8.114218547383684,8.114218547383684,9.004833698963886,9.004833698963886,9.004833698963886,9.004833698963886,9.004833698963886,9.004833698963886,9.004833698963886,9.23818244312031,9.23818244312031,9.23818244312031,9.23818244312031,9.23818244312031,9.23818244312031,9.23818244312031,9.2548583472106,9.2548583472106,9.2548583472106,9.2548583472106,9.2548583472106,9.2548583472106,9.2548583472106,8.715064886944688,9.004833698963886
character,Intelligence,60,7.95560647688572,7.95560647688572,7.95560647688572,7.95560647688572,7.95560647688572,7.95560647688572,7.95560647688572,8.10663495076439,8.10663495076439,8.10663495076439,8.10663495076439,8.10663495076439,8.10663495076439,8.10663495076439,8.99770889543157,8.99770889543157,8.99770889543157,8.99770889543157,8.99770889543157,8.99770889543157,8.99770889543157,9.230807809707375,9.230807809707375,9.230807809707375,9.230807809707375,9.230807809707375,9.230807809707375,9.230807809707375,9.24748478305814,9.24748478305814,9.24748478305814,9.24748478305814,9.24748478305814,9.24748478305814,9.24748478305814,8.707648583169442,8.99770889543157
character,Strength,70,7.971859893735185,7.971859893735185,7.971859893735185,7.971859893735185,7.971859893735185,7.971859893735185,7.971859893735185,8.1218622547601,8.1218622547601,8.1218622547601,8.1218622547601,8.1218622547601,8.1218622547601,8.1218622547601,9.008284275687176,9.008284275687176,9.008284275687176,9.008284275687176,9.008284275687176,9.008284275687176,9.008284275687176,9.242476725295754,9.242476725295754,9.242476725295754,9.242476725295754,9.242476725295754,9.242476725295754,9.242476725295754,9.259925655939579,9.259925655939579,9.259925655939579,9.259925655939579,9.259925655939579,9.259925655939579,9.259925655939579,8.720881761083557,9.008284275687176
character,Intelligence,70,7.964011764388805,7.964011764388805,7.964011764388805,7.964011764388805,7.964011764388805,7.964011764388805,7.964011764388805,8.11441522936541,8.11441522936541,8.11441522936541,8.11441522936541,8.11441522936541,8.11441522936541,8.11441522936541,9.00225092831155,9.00225092831155,9.00225092831155,9.00225092831155,9.00225092831155,9.00225092831155,9.00225092831155,9.23534065612611,9.23534065612611,9.23534065612611,9.23534065612611,9.23534065612611,9.23534065612611,9.23534065612611,9.252802533688689,9.252802533688689,9.252802533688689,9.252802533688689,9.252802533688689,9.252802533688689,9.252802533688689,8.713764222376113,9.00225092831155
character,Strength,80,7.99222156271205,7.99222156271205,7.99222156271205,7.99222156271205,7.99222156271205,7.99222156271205,7.99222156271205,8.1408164486101,8.1408164486101,8.1408164486101,8.1408164486101,8.1408164486101,8.1408164486101,8.1408164486101,9.02072249030014,9.02072249030014,9.02072249030014,9.02072249030014,9.02072249030014,9.02072249030014,9.02072249030014,9.25612803639568,9.25612803639568,9.25612803639568,9.25612803639568,9.25612803639568,9.25612803639568,9.25612803639568,9.274805921500159,9.274805921500159,9.274805921500159,9.274805921500159,9.274805921500159,9.274805921500159,9.274805921500159,8.736938891903627,9.02072249030014
character,Intelligence,80,7.988329154049,7.988329154049,7.988329154049,7.988329154049,7.988329154049,7.988329154049,7.988329154049,8.137140148086184,8.137140148086184,8.137140148086184,8.137140148086184,8.137140148086184,8.137140148086184,8.137140148086184,9.017898894406946,9.017898894406946,9.017898894406946,9.017898894406946,9.017898894406946,9.017898894406946,9.017898894406946,9.25263729590959,9.25263729590959,9.25263729590959,9.25263729590959,9.25263729590959,9.25263729590959,9.25263729590959,9.271397224485835,9.271397224485835,9.271397224485835,9.271397224485835,9.271397224485835,9.271397224485835,9.271397224485835,8.733480543387511,9.017898894406946
character,Strength,90,8.058351145682515,8.058351145682515,8.058351145682515,8.058351145682515,8.058351145682515,8.058351145682515,8.058351145682515,8.202518087071981,8.202518087071981,8.202518087071981,8.202518087071981,8.202518087071981,8.202518087071981,8.202518087071981,9.06286927294671,9.06286927294671,9.06286927294671,9.06286927294671,9.06286927294671,9.06286927294671,9.06286927294671,9.300819289781685,9.300819289781685,9.300819289781685,9.300819289781685,9.300819289781685,9.300819289781685,9.300819289781685,9.323467265912155,9.323467265912155,9.323467265912155,9.323467265912155,9.323467265912155,9.323467265912155,9.323467265912155,8.789605012279006,9.06286927294671
character,Intelligence,90,8.06161511413682,8.06161511413682,8.06161511413682,8.06161511413682,8.06161511413682,8.06161511413682,8.06161511413682,8.205468418813465,8.205468418813465,8.205468418813465,8.205468418813465,8.205468418813465,8.205468418813465,8.205468418813465,9.064498935225556,9.064498935225556,9.064498935225556,9.064498935225556,9.064498935225556,9.064498935225556,9.064498935225556,9.302284773394165,9.302284773394165,9.302284773394165,9.302284773394165,9.302284773394165,9.302284773394165,9.302284773394165,9.325282491782955,9.325282491782955,9.325282491782955,9.325282491782955,9.325282491782955,9.325282491782955,9.325282491782955,8.791829946670594,9.064498935225556
consumer,CustomerAge,50,8.138603938436754,8.138603938436754,8.138603938436754,8.138603938436754,8.138603938436754,8.138603938436754,8.138603938436754,8.28966732832794,8.28966732832794,8.28966732832794,8.28966732832794,8.28966732832794,8.28966732832794,8.28966732832794,9.179290361433015,9.179290361433015,9.179290361433015,9.179290361433015,9.179290361433015,9.179290361433015,9.179290361433015,9.411268589205141,9.411268589205141,9.411268589205141,9.411268589205141,9.411268589205141,9.411268589205141,9.411268589205141,9.42722032056493,9.42722032056493,9.42722032056493,9.42722032056493,9.42722032056493,9.42722032056493,9.42722032056493,8.889210107593554,9.179290361433015
consumer,CustomerSatisfaction,50,7.588874652143295,7.588874652143295,7.588874652143295,7.588874652143295,7.588874652143295,7.588874652143295,7.588874652143295,7.74204044548128,7.74204044548128,7.74204044548128,7.74204044548128,7.74204044548128,7.74204044548128,7.74204044548128,8.64341520061995,8.64341520061995,8.64341520061995,8.64341520061995,8.64341520061995,8.64341520061995,8.64341520061995,8.878378238129105,8.878378238129105,8.878378238129105,8.878378238129105,8.878378238129105,8.878378238129105,8.878378238129105,8.89458646878949,8.89458646878949,8.89458646878949,8.89458646878949,8.89458646878949,8.89458646878949,8.89458646878949,8.349459001032626,8.64341520061995
consumer,CustomerAge,60,8.128311798374625,8.128311798374625,8.128311798374625,8.128311798374625,8.128311798374625,8.128311798374625,8.128311798374625,8.279318458869556,8.279318458869556,8.279318458869556,8.279318458869556,8.279318458869556,8.279318458869556,8.279318458869556,9.168581162437915,9.168581162437915,9.168581162437915,9.168581162437915,9.168581162437915,9.168581162437915,9.168581162437915,9.400705362937625,9.400705362937625,9.400705362937625,9.400705362937625,9.400705362937625,9.400705362937625,9.400705362937625,9.416823664744314,9.416823664744314,9.416823664744314,9.416823664744314,9.416823664744314,9.416823664744314,9.416823664744314,8.878748089472802,9.168581162437915
