A,B,C,D,E
15.9,45.29,30.6,24.72,21.78
15.9,41.63,28.76,23.62,21.05
7.79,0.0,3.9,5.45,6.23
7.79,0.0,3.9,5.45,6.23
7.79,0.0,3.9,5.45,6.23
11.05,70.58,40.82,28.91,22.96
11.05,82.35,46.7,32.44,25.31
11.05,82.35,46.7,32.44,25.31
15.9,15.97,15.94,15.92,15.91
15.9,51.6,33.75,26.61,23.04
7.79,0.0,3.9,5.45,6.23
7.79,0.0,3.9,5.45,6.23
7.79,0.0,3.9,5.45,6.23
11.05,70.58,40.82,28.91,22.96
11.05,82.35,46.7,32.44,25.31
11.05,82.35,46.7,32.44,25.31
15.9,33.14,24.52,21.07,19.35
15.9,34.54,25.22,21.49,19.63
7.79,0.0,3.9,5.45,6.23
7.79,0.0,3.9,5.45,6.23
7.79,0.0,3.9,5.45,6.23
11.05,70.58,40.82,28.91,22.96
11.05,82.35,46.7,32.44,25.31
11.05,82.35,46.7,32.44,25.31
15.9,42.0,28.95,23.73,21.12
15.9,43.14,29.52,24.07,21.35
7.79,4.79,6.29,6.89,7.19
7.79,4.79,6.29,6.89,7.19
7.79,4.79,6.29,6.89,7.19
11.05,70.58,40.82,28.91,22.96
11.05,82.35,46.7,32.44,25.31
11.05,82.35,46.7,32.44,25.31
15.9,108.08,61.99,43.55,34.34
15.9,39.9,27.9,23.1,20.7
7.79,39.75,23.77,17.38,14.18
7.79,39.75,23.77,17.38,14.18
7.79,39.75,23.77,17.38,14.18
11.05,70.58,40.82,28.91,22.96
11.05,82.35,46.7,32.44,25.31
11.05,82.35,46.7,32.44,25.31
15.9,190.56,103.23,68.3,50.83
15.9,125.24,70.57,48.7,37.77
7.79,23.44,15.62,12.48,10.92
7.79,23.44,15.62,12.48,10.92
7.79,23.44,15.62,12.48,10.92
11.05,70.58,40.82,28.91,22.96
11.05,82.35,46.7,32.44,25.31
11.05,82.35,46.7,32.44,25.31
20.29,41.63,30.96,26.69,24.56
20.29,45.29,32.79,27.79,25.29
28.56,0.0,14.28,19.99,22.85
28.56,0.0,14.28,19.99,22.85
28.56,0.0,14.28,19.99,22.85
8.47,70.58,39.52,27.1,20.89
8.47,70.58,39.52,27.1,20.89
8.47,70.58,39.52,27.1,20.89
20.29,15.97,18.13,18.99,19.43
20.29,51.6,35.94,29.68,26.55
28.56,0.0,14.28,19.99,22.85
28.56,0.0,14.28,19.99,22.85
28.56,0.0,14.28,19.99,22.85
8.47,70.58,39.52,27.1,20.89
8.47,70.58,39.52,27.1,20.89
8.47,70.58,39.52,27.1,20.89
20.29,34.54,27.42,24.56,23.14
20.29,33.14,26.72,24.14,22.86
28.56,0.0,14.28,19.99,22.85
28.56,0.0,14.28,19.99,22.85
28.56,0.0,14.28,19.99,22.85
8.47,70.58,39.52,27.1,20.89
8.47,70.58,39.52,27.1,20.89
8.47,70.58,39.52,27.1,20.89
20.29,42.0,31.14,26.8,24.63
20.29,43.14,31.72,27.14,24.86
28.56,4.79,16.68,21.43,23.81
28.56,4.79,16.68,21.43,23.81
28.56,4.79,16.68,21.43,23.81
8.47,70.58,39.52,27.1,20.89
8.47,70.58,39.52,27.1,20.89
8.47,70.58,39.52,27.1,20.89
20.29,108.08,64.18,46.63,37.85
20.29,39.9,30.1,26.17,24.21
28.56,39.75,34.16,31.92,30.8
28.56,39.75,34.16,31.92,30.8
28.56,39.75,34.16,31.92,30.8
8.47,70.58,39.52,27.1,20.89
8.47,70.58,39.52,27.1,20.89
8.47,70.58,39.52,27.1,20.89
20.29,190.56,105.42,71.37,54.34
20.29,125.24,72.76,51.77,41.28
28.56,23.44,26.0,27.02,27.54
28.56,23.44,26.0,27.02,27.54
28.56,23.44,26.0,27.02,27.54
8.47,70.58,39.52,27.1,20.89
8.47,70.58,39.52,27.1,20.89
8.47,70.58,39.52,27.1,20.89
14.26,45.29,29.78,23.57,20.47
14.26,41.63,27.94,22.47,19.73
7.16,0.0,3.58,5.01,5.73
7.16,0.0,3.58,5.01,5.73
7.16,0.0,3.58,5.01,5.73
9.0,82.35,45.68,31.0,23.67
9.0,82.35,45.68,31.0,23.67
,,,,
14.26,15.97,15.12,14.77,14.6
14.26,51.6,32.93,25.46,21.73
7.16,0.0,3.58,5.01,5.73
7.16,0.0,3.58,5.01,5.73
7.16,0.0,3.58,5.01,5.73
9.0,82.35,45.68,31.0,23.67
9.0,82.35,45.68,31.0,23.67
,,,,
14.26,34.54,24.4,20.34,18.32
14.26,33.14,23.7,19.92,18.04
7.16,0.0,3.58,5.01,5.73
7.16,0.0,3.58,5.01,5.73
7.16,4.62,5.89,6.4,6.65
9.0,82.35,45.68,31.0,23.67
9.0,82.35,45.68,31.0,23.67
,,,,
14.26,42.0,28.13,22.58,19.81
14.26,43.14,28.7,22.92,20.04
7.16,4.79,5.98,6.45,6.69
7.16,4.79,5.98,6.45,6.69
7.16,0.0,3.58,5.01,5.73
9.0,82.35,45.68,31.0,23.67
9.0,82.35,45.68,31.0,23.67
,,,,
14.26,108.08,61.17,42.41,33.02
14.26,39.9,27.08,21.95,19.39
7.16,39.75,23.46,16.94,13.68
7.16,39.75,23.46,16.94,13.68
7.16,0.0,3.58,5.01,5.73
9.0,82.35,45.68,31.0,23.67
9.0,82.35,45.68,31.0,23.67
,,,,
14.26,190.56,102.41,67.15,49.52
14.26,125.24,69.75,47.55,36.46
7.16,23.44,15.3,12.04,10.42
7.16,23.44,15.3,12.04,10.42
7.16,23.78,15.47,12.15,10.48
9.0,82.35,45.68,31.0,23.67
9.0,82.35,45.68,31.0,23.67
,,,,
14.25,41.63,27.94,22.46,19.73
14.25,45.29,29.77,23.56,20.46
7.47,0.0,3.74,5.23,5.98
7.47,0.0,3.74,5.23,5.98
7.47,0.0,3.74,5.23,5.98
8.9,82.35,45.62,30.94,23.59
8.9,82.35,45.62,30.94,23.59
,,,,
14.25,15.97,15.11,14.77,14.59
14.25,51.6,32.92,25.46,21.72
7.47,0.0,3.74,5.23,5.98
7.47,0.0,3.74,5.23,5.98
7.47,0.0,3.74,5.23,5.98
8.9,82.35,45.62,30.94,23.59
8.9,82.35,45.62,30.94,23.59
,,,,
14.25,33.14,23.7,19.92,18.03
14.25,34.54,24.4,20.34,18.31
7.47,0.0,3.74,5.23,5.98
7.47,0.0,3.74,5.23,5.98
7.47,4.62,6.04,6.61,6.9
8.9,82.35,45.62,30.94,23.59
8.9,82.35,45.62,30.94,23.59
,,,,
14.25,42.0,28.12,22.58,19.8
14.25,43.14,28.7,22.92,20.03
7.47,4.79,6.13,6.67,6.93
7.47,4.79,6.13,6.67,6.93
7.47,0.0,3.74,5.23,5.98
8.9,82.35,45.62,30.94,23.59
8.9,82.35,45.62,30.94,23.59
,,,,
14.25,108.08,61.16,42.4,33.02
14.25,39.9,27.08,21.94,19.38
7.47,39.75,23.61,17.15,13.93
7.47,39.75,23.61,17.15,13.93
7.47,0.0,3.74,5.23,5.98
8.9,82.35,45.62,30.94,23.59
8.9,82.35,45.62,30.94,23.59
,,,,
14.25,190.56,102.4,67.14,49.51
14.25,125.24,69.74,47.55,36.45
7.47,23.44,15.46,12.26,10.66
7.47,23.44,15.46,12.26,10.66
7.47,23.78,15.62,12.36,10.73
8.9,82.35,45.62,30.94,23.59
8.9,82.35,45.62,30.94,23.59
,,,,
17.53,45.29,31.41,25.86,23.08
17.53,41.63,29.58,24.76,22.35
11.83,0.0,5.92,8.28,9.46
11.83,0.0,5.92,8.28,9.46
11.83,0.0,5.92,8.28,9.46
16.19,82.35,49.27,36.04,29.42
,,,,
,,,,
17.53,15.97,16.75,17.06,17.22
17.53,51.6,34.56,27.75,24.34
11.83,0.0,5.92,8.28,9.46
11.83,0.0,5.92,8.28,9.46
11.83,0.0,5.92,8.28,9.46
16.19,82.35,49.27,36.04,29.42
,,,,
,,,,
17.53,33.14,25.34,22.21,20.65
17.53,34.54,26.04,22.63,20.93
11.83,0.0,5.92,8.28,9.46
11.83,4.62,8.22,9.67,10.39
11.83,4.62,8.22,9.67,10.39
16.19,82.35,49.27,36.04,29.42
,,,,
,,,,
17.53,42.0,29.76,24.87,22.42
17.53,43.14,30.34,25.21,22.65
11.83,4.79,8.31,9.72,10.42
11.83,0.0,5.92,8.28,9.46
11.83,0.0,5.92,8.28,9.46
16.19,82.35,49.27,36.04,29.42
,,,,
,,,,
17.53,108.08,62.8,44.7,35.64
17.53,39.9,28.72,24.24,22.0
11.83,39.75,25.79,20.21,17.41
11.83,0.0,5.92,8.28,9.46
11.83,0.0,5.92,8.28,9.46
16.19,82.35,49.27,36.04,29.42
,,,,
,,,,
17.53,125.24,71.38,49.84,39.07
17.53,190.56,104.04,69.44,52.14
11.83,23.44,17.64,15.31,14.15
11.83,23.78,17.8,15.42,14.22
11.83,23.78,17.8,15.42,14.22
16.19,82.35,49.27,36.04,29.42
,,,,
,,,,
15.09,41.63,28.36,23.05,20.4
15.09,45.29,30.19,24.15,21.13
11.83,0.0,5.92,8.28,9.46
11.83,0.0,5.92,8.28,9.46
11.83,0.0,5.92,8.28,9.46
10.05,109.65,59.85,39.93,29.97
,,,,
,,,,
15.09,15.97,15.53,15.35,15.27
15.09,51.6,33.34,26.04,22.39
13.32,0.0,6.66,9.32,10.66
13.32,0.0,6.66,9.32,10.66
13.32,0.0,6.66,9.32,10.66
10.05,109.65,59.85,39.93,29.97
,,,,
,,,,
15.09,33.14,24.12,20.5,18.7
15.09,34.54,24.82,20.92,18.98
13.32,0.0,6.66,9.32,10.66
13.32,4.62,8.97,10.71,11.58
13.32,4.62,8.97,10.71,11.58
10.05,109.65,59.85,39.93,29.97
,,,,
,,,,
15.09,42.0,28.54,23.16,20.47
15.09,43.14,29.12,23.5,20.7
13.32,4.79,9.06,10.76,11.61
13.32,9.57,11.44,12.2,12.57
13.32,9.57,11.44,12.2,12.57
10.05,109.65,59.85,39.93,29.97
,,,,
,,,,
15.09,108.08,61.58,42.99,33.69
15.09,39.9,27.49,22.53,20.05
13.32,39.75,26.54,21.25,18.61
13.32,0.0,6.66,9.32,10.66
13.32,0.0,6.66,9.32,10.66
10.05,109.65,59.85,39.93,29.97
,,,,
,,,,
15.09,190.56,102.82,67.73,50.18
15.09,125.24,70.16,48.13,37.12
13.32,23.44,18.38,16.36,15.34
13.32,23.78,18.55,16.46,15.41
13.32,23.78,18.55,16.46,15.41
10.05,109.65,59.85,39.93,29.97
