A,B
15.90,45.29
15.90,41.63
7.79,0.0
7.79,0.0
7.79,0.0
11.05,70.58
11.05,82.35
11.05,82.35
15.90,15.97
15.90,51.60
7.79,0.0
7.79,0.0
7.79,0.0
11.05,70.58
11.05,82.35
11.05,82.35
15.90,33.14
15.90,34.54
7.79,0.0
7.79,0.0
7.79,0.0
11.05,70.58
11.05,82.35
11.05,82.35
15.90,42
15.90,43.14
7.79,4.79
7.79,4.79
7.79,4.79
11.05,70.58
11.05,82.35
11.05,82.35
15.90,108.08
15.90,39.90
7.79,39.75
7.79,39.75
7.79,39.75
11.05,70.58
11.05,82.35
11.05,82.35
15.90,190.56
15.90,125.24
7.79,23.44
7.79,23.44
7.79,23.44
11.05,70.58
11.05,82.35
11.05,82.35
20.29,41.63
20.29,45.29
28.56,0.0
28.56,0.0
28.56,0.0
8.47,70.58
8.47,70.58
8.47,70.58
20.29,15.97
20.29,51.60
28.56,0.0
28.56,0.0
28.56,0.0
8.47,70.58
8.47,70.58
8.47,70.58
20.29,34.54
20.29,33.14
28.56,0.0
28.56,0.0
28.56,0.0
8.47,70.58
8.47,70.58
8.47,70.58
20.29,42
20.29,43.14
28.56,4.79
28.56,4.79
28.56,4.79
8.47,70.58
8.47,70.58
8.47,70.58
20.29,108.08
20.29,39.90
28.56,39.75
28.56,39.75
28.56,39.75
8.47,70.58
8.47,70.58
8.47,70.58
20.29,190.56
20.29,125.24
28.56,23.44
28.56,23.44
28.56,23.44
8.47,70.58
8.47,70.58
8.47,70.58
14.26,45.29
14.26,41.63
7.16,0.0
7.16,0.0
7.16,0.0
9,82.35
9,82.35
,
14.26,15.97
14.26,51.60
7.16,0.0
7.16,0.0
7.16,0.0
9,82.35
9,82.35
,
14.26,34.54
14.26,33.14
7.16,0.0
7.16,0.0
7.16,4.62
9,82.35
9,82.35
,
14.26,42
14.26,43.14
7.16,4.79
7.16,4.79
7.16,0.0
9,82.35
9,82.35
,
14.26,108.08
14.26,39.90
7.16,39.75
7.16,39.75
7.16,0.0
9,82.35
9,82.35
,
14.26,190.56
14.26,125.24
7.16,23.44
7.16,23.44
7.16,23.78
9,82.35
9,82.35
,
14.25,41.63
14.25,45.29
7.47,0.0
7.47,0.0
7.47,0.0
8.90,82.35
8.90,82.35
,
14.25,15.97
14.25,51.60
7.47,0.0
7.47,0.0
7.47,0.0
8.90,82.35
8.90,82.35
,
14.25,33.14
14.25,34.54
7.47,0.0
7.47,0.0
7.47,4.62
8.90,82.35
8.90,82.35
,
14.25,42
14.25,43.14
7.47,4.79
7.47,4.79
7.47,0.0
8.90,82.35
8.90,82.35
,
14.25,108.08
14.25,39.90
7.47,39.75
7.47,39.75
7.47,0.0
8.90,82.35
8.90,82.35
,
14.25,190.56
14.25,125.24
7.47,23.44
7.47,23.44
7.47,23.78
8.90,82.35
8.90,82.35
,
17.53,45.29
17.53,41.63
11.83,0.0
11.83,0.0
11.83,0.0
16.19,82.35
,
,
17.53,15.97
17.53,51.60
11.83,0.0
11.83,0.0
11.83,0.0
16.19,82.35
,
,
17.53,33.14
17.53,34.54
11.83,0.0
11.83,4.62
11.83,4.62
16.19,82.35
,
,
17.53,42
17.53,43.14
11.83,4.79
11.83,0.0
11.83,0.0
16.19,82.35
,
,
17.53,108.08
17.53,39.90
11.83,39.75
11.83,0.0
11.83,0.0
16.19,82.35
,
,
17.53,125.24
17.53,190.56
11.83,23.44
11.83,23.78
11.83,23.78
16.19,82.35
,
,
15.09,41.63
15.09,45.29
11.83,0.0
11.83,0.0
11.83,0.0
10.05,109.65
,
,
15.09,15.97
15.09,51.60
13.32,0.0
13.32,0.0
13.32,0.0
10.05,109.65
,
,
15.09,33.14
15.09,34.54
13.32,0.0
13.32,4.62
13.32,4.62
10.05,109.65
,
,
15.09,42
15.09,43.14
13.32,4.79
13.32,9.57
13.32,9.57
10.05,109.65
,
,
15.09,108.08
15.09,39.90
13.32,39.75
13.32,0.0
13.32,0.0
10.05,109.65
,
,
15.09,190.56
15.09,125.24
13.32,23.44
13.32,23.78
13.32,23.78
10.05,109.65
