dataset,BachChoralHarmony,Run,abalone,bank,cancer,default of credit card clients,drug,electricity-normalized,fried,frogs,german,house,iris,letter,mv,numerai28.6,phoneme,ringnorm,shuttle,stars,visualizing,wall-robot-navigation,average_distance
BachChoralHarmony,0.9991954033053204,0.9991906003963233,0.6478020541160345,0.9991930187922471,0.9999999928652983,0.7578618938639793,0.9997126488172781,0.9832572804776893,0.9991798552321836,0.9991864250236411,0.9993808844576814,0.36975055403926804,0.999144082567169,0.9995010475359536,0.9991974943871247,0.9992090679573347,0.9991965379955117,0.9992784905088822,0.9934422772370095,0.9992083599911477,0.9991957570629534,0.999185615048727,0.9427395155308524
Run,0.9999998899737164,0.9999993057952921,0.6288016999582879,0.9999992491820421,0.9992008382312456,0.7322927611372018,0.9998253605303844,0.9754742358487952,0.9999933021948356,0.9999998063504919,0.9972023055169283,0.3328862101396105,0.9975024434326406,0.9999589681279012,0.9999996794315558,0.9999989643250687,0.9999999614606669,0.999997269540827,0.9897001034190218,0.9999994212243493,0.9999731727604353,0.9999998037692873,0.9387638523795719
abalone,0.9999991767787593,0.9999998784537425,0.6284489534086916,0.9999999481740155,0.9991967295451623,0.7321907581475685,0.9998266467253157,0.9754967310347559,0.9999927384291386,0.9999992865111251,0.9971990527815413,0.3328174536598741,0.9975322986810913,0.999959109030825,0.9999987104167957,0.9999995656944675,0.9999991660294278,0.999996653752062,0.9896911964090762,0.9999997100270576,0.9999735328461603,0.9999991851254305,0.9387416582573676
bank,0.8946798395055365,0.894631946250117,0.721745347516007,0.8946463756936371,0.9061744780582482,0.8735608174208858,0.8995479849647647,0.9352108554712053,0.8946173414298482,0.8946011698491676,0.9148793408978849,0.5720699874489151,0.9086053840685407,0.897146828817606,0.8946948843835937,0.8947804193724918,0.8946876422809668,0.8953113849038704,0.9153477237598315,0.8947489368782445,0.8949106045500544,0.8945961811797614,0.8764179761227809
cancer,0.9998455388389219,0.999845718328376,0.6358811886850029,0.9998471849992253,0.9997100394203395,0.7427687350286918,0.999992083273408,0.9789673292979074,0.9998347982728049,0.999842111823941,0.9982882824897077,0.34805104364932155,0.9984559117641668,0.9999497144520302,0.9998460765221292,0.9998534802071493,0.9998457819306509,0.9998785524588782,0.9915055589631316,0.99985273514064,0.9998314540307837,0.9998415935053042,0.9405334051401141
default of credit card clients,0.5208119742869357,0.5207377685581007,0.5700155986938144,0.5207577877440341,0.538851617686677,0.7174378052418912,0.5282030276365804,0.6015406492642058,0.5206869399816956,0.5206913347952848,0.5536246882795252,0.5852581913393133,0.5433669379060285,0.5245252876160202,0.5208339659997571,0.5209633527320936,0.5208245092412276,0.5217647842702938,0.5592726242102823,0.5209101330500707,0.5211190213207423,0.520683898568606,0.544221904473781
drug,0.9748000255356347,0.9748008192012799,0.6965131882244104,0.9748177580587557,0.9826997517766557,0.8503712571715647,0.9784343328318951,0.9999892636364297,0.9747577752885727,0.9747593643497382,0.9885104294701097,0.5311576764648656,0.9869053912708677,0.9767516377473999,0.9747762734442006,0.9748913050276654,0.9747974235701713,0.9752942200188157,0.9881091447832009,0.9748994689863306,0.9749577246747169,0.9747529310251976,0.9398975982981127
electricity-normalized,0.999998019559068,0.999997355100337,0.6283602303368219,0.9999973911169501,0.9991864782530968,0.7320638305890962,0.9998175064095416,0.9754278250608887,0.9999955371175778,0.9999979183768989,0.9971802314049063,0.3326106693534655,0.9974785996503317,0.9999552250851692,0.9999972448676684,0.9999966806849268,0.9999978505518803,0.9999950419490049,0.9896364809514977,0.9999972897313053,0.9999791901949561,0.9999979352431801,0.9387120241631166
fried,0.9999999509201011,0.9999994859252714,0.6283650557548366,0.9999994547876975,0.9991886635018615,0.7320642017054765,0.9998211286557709,0.9754288640720317,0.999993185567003,0.9999999999783238,0.9971815717269924,0.3326188974300447,0.9974924476651388,0.999956721113539,0.9999993238883907,0.999998842316768,0.9999998982739434,0.9999969668017625,0.9896481022668432,0.9999995270637059,0.9999725569983611,0.9999999948303078,0.9387147655110989
frogs,0.9999993031393087,0.9999999808721894,0.6284490474077674,0.9999998684490957,0.9991915626100959,0.732113826687944,0.9998239407688962,0.9754629272568484,0.9999927837893612,0.9999994396928565,0.9971883885674832,0.3326800536422002,0.9975194012264503,0.9999577367907049,0.9999989551698432,0.9999997147459702,0.9999993266408781,0.9999964069627097,0.989680488028119,0.9999997950704211,0.9999733787738666,0.9999993374214953,0.9387284392597501
