dataset,name,perc,mean,median
weather,Temperature,50,7.24330180681787,7.405333770534635
weather,Precipitation,50,7.673912233834171,7.83412477020503
weather,AtmosphericPressure,50,8.783571555112804,8.93928386700567
weather,Temperature,60,7.235120063912435,7.390728359419314
weather,Precipitation,60,7.658702879847234,7.812551433927201
weather,AtmosphericPressure,60,8.760745930293671,8.910225589078124
weather,Temperature,70,7.227635327906959,7.376818393682861
weather,Precipitation,70,7.647018056399858,7.79448154234358
weather,AtmosphericPressure,70,8.743659192755471,8.88687553538886
weather,Temperature,80,7.221262433759026,7.364012189755585
weather,Precipitation,80,7.634837502530433,7.775916500786249
weather,AtmosphericPressure,80,8.724944755217628,8.861904063659216
weather,Temperature,90,7.215671448803139,7.351994243759686
weather,Precipitation,90,7.619939327895346,7.754656304197425
weather,AtmosphericPressure,90,8.706041639677382,8.836753212319895
galaxy,eastwest,50,30.792353527702634,30.69957607803029
galaxy,northsouth,50,28.517186709648318,28.564104463510464
galaxy,radialposition,50,28.121443121841125,28.143335226860906
galaxy,eastwest,60,30.905227725225924,30.961719209557682
galaxy,northsouth,60,27.794576011810758,27.82651211329068
galaxy,radialposition,60,27.89957691556193,27.924278214962627
galaxy,eastwest,70,30.67199910026721,30.702593507179966
galaxy,northsouth,70,27.775947196856784,27.82550676862684
galaxy,radialposition,70,28.570192295111283,28.60430530909528
galaxy,eastwest,80,30.55856152040019,30.566242566903245
galaxy,northsouth,80,29.174556114549457,29.25492989907515
galaxy,radialposition,80,28.139712234545872,28.19853184982487
galaxy,eastwest,90,30.049818028573345,30.021156474664135
galaxy,northsouth,90,28.07966657074245,28.170333386008846
galaxy,radialposition,90,24.90880097256387,25.000371674249795
character,Strength,50,7.185820745239465,7.1990844169188355
character,Intelligence,50,7.17762346181217,7.190906351104805
character,Strength,60,7.183152282210163,7.16015933180158
character,Intelligence,60,7.176364649600576,7.15342579835111
character,Strength,70,7.183666880563824,7.1244329650526295
character,Intelligence,70,7.178747974444587,7.11961139358365
character,Strength,80,7.184482724451888,7.093383550559955
character,Intelligence,80,7.182334174139113,7.09133098738046
character,Strength,90,7.192467234775827,7.075676672709755
character,Intelligence,90,7.190909165133655,7.07416220076416
character,Weaknesses,50,13.74689239479293,13.488193168290168
character,Weaknesses,60,13.749196775970129,13.461002926718024
character,Weaknesses,70,13.75212298079503,13.43451756022456
character,Weaknesses,80,13.753016747396195,13.40859651800303
character,Weaknesses,90,13.741988201697348,13.420440964144763
consumer,CustomerAge,50,7.360469018597228,7.50695516381313
consumer,CustomerSatisfaction,50,6.854641734535444,7.003283619134485
consumer,CustomerAge,60,7.35088769319198,7.487953237581064
consumer,CustomerSatisfaction,60,6.855140276417785,6.994288576225729
consumer,CustomerAge,70,7.3430870505699675,7.470728391951685
consumer,CustomerSatisfaction,70,6.855681187801963,6.9853390157542705
consumer,CustomerAge,80,7.336107811135813,7.4543151246081
consumer,CustomerSatisfaction,80,6.856509504520832,6.976665775643726
consumer,CustomerAge,90,7.330662763044449,7.4394455699574396
consumer,CustomerSatisfaction,90,6.860413683793127,6.97106716796719
consumer,CustomerGender,50,13.705367985906543,13.555445466729472
consumer,CustomerGender,60,13.705108876497686,13.547099982675551
consumer,CustomerGender,70,13.705058693040726,13.539442800817755
consumer,CustomerGender,80,13.705353493208229,13.5329730364029
consumer,CustomerGender,90,13.705291540353839,13.525066047535365
heart,oldpeak,50,8.114900091615718,8.057917495597914
heart,oldpeak,60,7.945949618320063,8.062891803410704
heart,oldpeak,70,7.807097425527757,7.694576652333494
heart,oldpeak,80,7.677001079421385,7.612590940033714
heart,oldpeak,90,7.751605452876653,7.9076134864304555
heart,cp,50,13.995523022071014,13.77603762021214
heart,thal,50,14.723927361242389,14.50282588693653
heart,cp,60,13.893200708487859,13.630029387262816
heart,thal,60,17.188823886528226,16.948379991162117
heart,cp,70,13.808643899392536,13.324902049393824
heart,thal,70,18.344795188454274,17.91516053518157
heart,cp,80,13.712449757518666,13.169217008823919
heart,thal,80,15.456308931040086,15.033047106034033
heart,cp,90,13.608612815856212,13.108305512505536
heart,thal,90,15.694599220632085,15.351728636671
pet,AgeMonths,50,26.43871472411233,26.40977326729303
pet,AgeMonths,60,26.26211120062518,26.20946184228055
pet,AgeMonths,70,26.100478961982354,26.028373313210462
pet,AgeMonths,80,25.665089539487244,25.572636506360137
pet,AgeMonths,90,25.24876932953041,25.144789799584522
pet,Vaccinated,50,12.165548230942928,11.87634702704292
pet,Size,50,12.171483101276639,11.867041475126484
pet,Vaccinated,60,12.162370641773306,11.82797322990532
pet,Size,60,12.174770318729868,11.833973512814275
pet,Vaccinated,70,12.172716864898092,11.810683196132594
pet,Size,70,12.17901922559102,11.802037825142454
pet,Vaccinated,80,12.16051826641474,11.76907188964552
pet,Size,80,12.169588599370488,11.792892200802294
pet,Vaccinated,90,12.147483162431831,11.788094647279385
pet,Size,90,12.158973059378162,11.80855904760579
