model,technique,P,type
AdaBoost,impute_cmeans,7.302257756279078,NUM
AdaBoost,impute_knn,9.174831006965006,NUM
AdaBoost,impute_linear_regression,6.248646103814027,NUM
AdaBoost,impute_mean,6.0597658387848945,NUM
AdaBoost,impute_median,6.048863622190711,NUM
AdaBoost,impute_mice,6.407174602489202,NUM
AdaBoost,impute_random,9.39732430646647,NUM
AdaBoost,impute_random_forest,19.18025941000463,NUM
AdaBoost,impute_standard,0.0,NUM
DecisionTree,impute_cmeans,2.4958985863580705,NUM
DecisionTree,impute_knn,3.874260175460647,NUM
DecisionTree,impute_linear_regression,3.4542760700916677,NUM
DecisionTree,impute_mean,2.1407068009481875,NUM
DecisionTree,impute_median,2.8034182513718755,NUM
DecisionTree,impute_mice,2.4670101592450138,NUM
DecisionTree,impute_random,7.845301388763697,NUM
DecisionTree,impute_random_forest,4.796520167092955,NUM
DecisionTree,impute_standard,0.0,NUM
KNN,impute_cmeans,4.933559780910159,NUM
KNN,impute_knn,4.501590282779756,NUM
KNN,impute_linear_regression,4.520858497640868,NUM
KNN,impute_mean,5.053578327123958,NUM
KNN,impute_median,4.792180960042878,NUM
KNN,impute_mice,4.769025328587161,NUM
KNN,impute_random,7.184270002648724,NUM
KNN,impute_random_forest,5.233702306336593,NUM
KNN,impute_standard,0.0,NUM
LogisticRegression,impute_cmeans,36.214022392391605,NUM
LogisticRegression,impute_knn,38.49459764394824,NUM
LogisticRegression,impute_linear_regression,34.11075317255332,NUM
LogisticRegression,impute_mean,33.169798215797044,NUM
LogisticRegression,impute_median,34.16026831784365,NUM
LogisticRegression,impute_mice,34.73474889152216,NUM
LogisticRegression,impute_random,27.908112549234815,NUM
LogisticRegression,impute_random_forest,39.74724262410173,NUM
LogisticRegression,impute_standard,0.0,NUM
RandomForest,impute_cmeans,1.6797326336798097,NUM
RandomForest,impute_knn,2.344617789837926,NUM
RandomForest,impute_linear_regression,2.1621102784063746,NUM
RandomForest,impute_mean,1.6986563486534556,NUM
RandomForest,impute_median,1.5757970000089427,NUM
RandomForest,impute_mice,1.7687809545015771,NUM
RandomForest,impute_random,6.872824659456536,NUM
RandomForest,impute_random_forest,3.773333130093537,NUM
RandomForest,impute_standard,0.0,NUM
SVC,impute_cmeans,18.060936251404772,NUM
SVC,impute_knn,23.439599314489477,NUM
SVC,impute_linear_regression,16.748681508289625,NUM
SVC,impute_mean,17.20329383499708,NUM
SVC,impute_median,16.542725529649914,NUM
SVC,impute_mice,17.924221984617247,NUM
SVC,impute_random,22.093630386156473,NUM
SVC,impute_random_forest,20.427336243439793,NUM
SVC,impute_standard,0.0,NUM
AdaBoost,impute_knn,4.950784928542925,CAT
AdaBoost,impute_kproto,4.207294330725687,CAT
AdaBoost,impute_logistic_regression,4.5284465385170645,CAT
AdaBoost,impute_mice,4.6235935983076155,CAT
AdaBoost,impute_mode,4.620705926179293,CAT
AdaBoost,impute_random,10.390719243385181,CAT
AdaBoost,impute_random_forest,7.361266339379331,CAT
AdaBoost,impute_standard,0.0,CAT
DecisionTree,impute_knn,7.307930209259385,CAT
DecisionTree,impute_kproto,4.487937631961651,CAT
DecisionTree,impute_logistic_regression,5.70644286637095,CAT
DecisionTree,impute_mice,7.1576426351252485,CAT
DecisionTree,impute_mode,4.535815262560687,CAT
DecisionTree,impute_random,6.601143203814701,CAT
DecisionTree,impute_random_forest,5.932114749005217,CAT
DecisionTree,impute_standard,0.0,CAT
KNN,impute_knn,12.690384071854105,CAT
KNN,impute_kproto,9.713498957134926,CAT
KNN,impute_logistic_regression,11.476962002235405,CAT
KNN,impute_mice,12.702117473661826,CAT
KNN,impute_mode,9.574554694788032,CAT
KNN,impute_random,13.082887936689497,CAT
KNN,impute_random_forest,12.002075721249428,CAT
KNN,impute_standard,0.0,CAT
LogisticRegression,impute_knn,10.190004653138145,CAT
LogisticRegression,impute_kproto,6.014402135209578,CAT
LogisticRegression,impute_logistic_regression,7.736841227415063,CAT
LogisticRegression,impute_mice,10.103849390239015,CAT
LogisticRegression,impute_mode,6.065108191951753,CAT
LogisticRegression,impute_random,8.795066779375217,CAT
LogisticRegression,impute_random_forest,8.374471261829134,CAT
LogisticRegression,impute_standard,0.0,CAT
RandomForest,impute_knn,7.413160181918223,CAT
RandomForest,impute_kproto,5.675811511219428,CAT
RandomForest,impute_logistic_regression,5.881402705195474,CAT
RandomForest,impute_mice,7.660129700390329,CAT
RandomForest,impute_mode,5.681230966025556,CAT
RandomForest,impute_random,7.161459330529664,CAT
RandomForest,impute_random_forest,7.381429897787823,CAT
RandomForest,impute_standard,0.0,CAT
SVC,impute_knn,23.77687028974325,CAT
SVC,impute_kproto,27.162277470196816,CAT
SVC,impute_logistic_regression,25.311683859043942,CAT
SVC,impute_mice,23.38721241770499,CAT
SVC,impute_mode,28.227841760458343,CAT
SVC,impute_random,32.005622336839664,CAT
SVC,impute_random_forest,28.941336813453127,CAT
SVC,impute_standard,0.0,CAT
