dataset,name,perc,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,mean,median
weather,Temperature,50,6.83192586640054,6.83192586640054,6.83192586640054,6.83192586640054,6.83192586640054,6.83192586640054,6.863305566778299,6.863305566778299,6.863305566778299,6.863305566778299,6.863305566778299,6.863305566778299,7.405333770534635,7.405333770534635,7.405333770534635,7.405333770534635,7.405333770534635,7.405333770534635,7.455996027450605,7.455996027450605,7.455996027450605,7.455996027450605,7.455996027450605,7.455996027450605,7.464543587217785,7.464543587217785,7.464543587217785,7.464543587217785,7.464543587217785,7.464543587217785,7.4777868656668804,7.4777868656668804,7.4777868656668804,7.4777868656668804,7.4777868656668804,7.24330180681787,7.405333770534635
weather,Precipitation,50,7.266623385309025,7.266623385309025,7.266623385309025,7.266623385309025,7.266623385309025,7.266623385309025,7.297818651377795,7.297818651377795,7.297818651377795,7.297818651377795,7.297818651377795,7.297818651377795,7.83412477020503,7.83412477020503,7.83412477020503,7.83412477020503,7.83412477020503,7.83412477020503,7.884398123782225,7.884398123782225,7.884398123782225,7.884398123782225,7.884398123782225,7.884398123782225,7.892989546050335,7.892989546050335,7.892989546050335,7.892989546050335,7.892989546050335,7.892989546050335,7.906240264769905,7.906240264769905,7.906240264769905,7.906240264769905,7.906240264769905,7.673912233834171,7.83412477020503
weather,AtmosphericPressure,50,8.38690317290605,8.38690317290605,8.38690317290605,8.38690317290605,8.38690317290605,8.38690317290605,8.41752209450865,8.41752209450865,8.41752209450865,8.41752209450865,8.41752209450865,8.41752209450865,8.93928386700567,8.93928386700567,8.93928386700567,8.93928386700567,8.93928386700567,8.93928386700567,8.98832969980973,8.98832969980973,8.98832969980973,8.98832969980973,8.98832969980973,8.98832969980973,8.996938543092844,8.996938543092844,8.996938543092844,8.996938543092844,8.996938543092844,8.996938543092844,9.010228033002104,9.010228033002104,9.010228033002104,9.010228033002104,9.010228033002104,8.783571555112804,8.93928386700567
weather,Temperature,60,6.82163965565442,6.82163965565442,6.82163965565442,6.82163965565442,6.82163965565442,6.82163965565442,6.857453735162725,6.857453735162725,6.857453735162725,6.857453735162725,6.857453735162725,6.857453735162725,7.390728359419314,7.390728359419314,7.390728359419314,7.390728359419314,7.390728359419314,7.390728359419314,7.445900956273629,7.445900956273629,7.445900956273629,7.445900956273629,7.445900956273629,7.445900956273629,7.458819867648445,7.458819867648445,7.458819867648445,7.458819867648445,7.458819867648445,7.458819867648445,7.476389358396796,7.476389358396796,7.476389358396796,7.476389358396796,7.476389358396796,7.235120063912435,7.390728359419314
weather,Precipitation,60,7.249255066222085,7.249255066222085,7.249255066222085,7.249255066222085,7.249255066222085,7.249255066222085,7.284869883637825,7.284869883637825,7.284869883637825,7.284869883637825,7.284869883637825,7.284869883637825,7.812551433927201,7.812551433927201,7.812551433927201,7.812551433927201,7.812551433927201,7.812551433927201,7.86731157528903,7.86731157528903,7.86731157528903,7.86731157528903,7.86731157528903,7.86731157528903,7.8802562206099696,7.8802562206099696,7.8802562206099696,7.8802562206099696,7.8802562206099696,7.8802562206099696,7.897827143307334,7.897827143307334,7.897827143307334,7.897827143307334,7.897827143307334,7.658702879847234,7.812551433927201
weather,AtmosphericPressure,60,8.361878603845165,8.361878603845165,8.361878603845165,8.361878603845165,8.361878603845165,8.361878603845165,8.396853464824714,8.396853464824714,8.396853464824714,8.396853464824714,8.396853464824714,8.396853464824714,8.910225589078124,8.910225589078124,8.910225589078124,8.910225589078124,8.910225589078124,8.910225589078124,8.963692002276614,8.963692002276614,8.963692002276614,8.963692002276614,8.963692002276614,8.963692002276614,8.97658757635236,8.97658757635236,8.97658757635236,8.97658757635236,8.97658757635236,8.97658757635236,8.994136828403345,8.994136828403345,8.994136828403345,8.994136828403345,8.994136828403345,8.760745930293671,8.910225589078124
weather,Temperature,70,6.81205861947826,6.81205861947826,6.81205861947826,6.81205861947826,6.81205861947826,6.81205861947826,6.852307028992945,6.852307028992945,6.852307028992945,6.852307028992945,6.852307028992945,6.852307028992945,7.376818393682861,7.376818393682861,7.376818393682861,7.376818393682861,7.376818393682861,7.376818393682861,7.43649576737989,7.43649576737989,7.43649576737989,7.43649576737989,7.43649576737989,7.43649576737989,7.45378658887699,7.45378658887699,7.45378658887699,7.45378658887699,7.45378658887699,7.45378658887699,7.475687617255581,7.475687617255581,7.475687617255581,7.475687617255581,7.475687617255581,7.227635327906959,7.376818393682861
weather,Precipitation,70,7.235438681795214,7.235438681795214,7.235438681795214,7.235438681795214,7.235438681795214,7.235438681795214,7.275471941044205,7.275471941044205,7.275471941044205,7.275471941044205,7.275471941044205,7.275471941044205,7.79448154234358,7.79448154234358,7.79448154234358,7.79448154234358,7.79448154234358,7.79448154234358,7.85374243388649,7.85374243388649,7.85374243388649,7.85374243388649,7.85374243388649,7.85374243388649,7.87104072242823,7.87104072242823,7.87104072242823,7.87104072242823,7.87104072242823,7.87104072242823,7.8929160090017545,7.8929160090017545,7.8929160090017545,7.8929160090017545,7.8929160090017545,7.647018056399858,7.79448154234358
weather,AtmosphericPressure,70,8.34264171908127,8.34264171908127,8.34264171908127,8.34264171908127,8.34264171908127,8.34264171908127,8.381970952205545,8.381970952205545,8.381970952205545,8.381970952205545,8.381970952205545,8.381970952205545,8.88687553538886,8.88687553538886,8.88687553538886,8.88687553538886,8.88687553538886,8.88687553538886,8.94477349557131,8.94477349557131,8.94477349557131,8.94477349557131,8.94477349557131,8.94477349557131,8.961956898516075,8.961956898516075,8.961956898516075,8.961956898516075,8.961956898516075,8.961956898516075,8.98375202837266,8.98375202837266,8.98375202837266,8.98375202837266,8.98375202837266,8.743659192755471,8.88687553538886
weather,Temperature,80,6.80359682012923,6.80359682012923,6.80359682012923,6.80359682012923,6.80359682012923,6.80359682012923,6.84827927144262,6.84827927144262,6.84827927144262,6.84827927144262,6.84827927144262,6.84827927144262,7.364012189755585,7.364012189755585,7.364012189755585,7.364012189755585,7.364012189755585,7.364012189755585,7.428202729845815,7.428202729845815,7.428202729845815,7.428202729845815,7.428202729845815,7.428202729845815,7.449865493536844,7.449865493536844,7.449865493536844,7.449865493536844,7.449865493536844,7.449865493536844,7.476089230661065,7.476089230661065,7.476089230661065,7.476089230661065,7.476089230661065,7.221262433759026,7.364012189755585
