model,technique,P,type
AdaBoost,impute_cmeans,7.302257756279078,NUM
AdaBoost,impute_knn,9.174831006965006,NUM
AdaBoost,impute_linear_regression,6.248646103814027,NUM
AdaBoost,impute_mean,6.0597658387848945,NUM
AdaBoost,impute_median,6.048863622190711,NUM
AdaBoost,impute_mice,6.407174602489202,NUM
AdaBoost,impute_random,9.39732430646647,NUM
AdaBoost,impute_random_forest,19.18025941000463,NUM
AdaBoost,impute_standard,0.0,NUM
DecisionTree,impute_cmeans,2.4958985863580705,NUM
DecisionTree,impute_knn,3.874260175460647,NUM
DecisionTree,impute_linear_regression,3.4542760700916677,NUM
DecisionTree,impute_mean,2.1407068009481875,NUM
DecisionTree,impute_median,2.8034182513718755,NUM
DecisionTree,impute_mice,2.4670101592450138,NUM
DecisionTree,impute_random,7.845301388763697,NUM
DecisionTree,impute_random_forest,4.796520167092955,NUM
DecisionTree,impute_standard,0.0,NUM
KNN,impute_cmeans,4.933559780910159,NUM
KNN,impute_knn,4.501590282779756,NUM
KNN,impute_linear_regression,4.520858497640868,NUM
KNN,impute_mean,5.053578327123958,NUM
KNN,impute_median,4.792180960042878,NUM
KNN,impute_mice,4.769025328587161,NUM
KNN,impute_random,7.184270002648724,NUM
KNN,impute_random_forest,5.233702306336593,NUM
KNN,impute_standard,0.0,NUM
LogisticRegression,impute_cmeans,36.214022392391605,NUM
LogisticRegression,impute_knn,38.49459764394824,NUM
LogisticRegression,impute_linear_regression,34.11075317255332,NUM
LogisticRegression,impute_mean,33.169798215797044,NUM
LogisticRegression,impute_median,34.16026831784365,NUM
LogisticRegression,impute_mice,34.73474889152216,NUM
LogisticRegression,impute_random,27.908112549234815,NUM
LogisticRegression,impute_random_forest,39.74724262410173,NUM
LogisticRegression,impute_standard,0.0,NUM
RandomForest,impute_cmeans,1.6797326336798097,NUM
RandomForest,impute_knn,2.344617789837926,NUM
RandomForest,impute_linear_regression,2.1621102784063746,NUM
RandomForest,impute_mean,1.6986563486534556,NUM
RandomForest,impute_median,1.5757970000089427,NUM
RandomForest,impute_mice,1.7687809545015771,NUM
RandomForest,impute_random,6.872824659456536,NUM
RandomForest,impute_random_forest,3.773333130093537,NUM
RandomForest,impute_standard,0.0,NUM
SVC,impute_cmeans,18.060936251404772,NUM
SVC,impute_knn,23.439599314489477,NUM
SVC,impute_linear_regression,16.748681508289625,NUM
SVC,impute_mean,17.20329383499708,NUM
SVC,impute_median,16.542725529649914,NUM
SVC,impute_mice,17.924221984617247,NUM
SVC,impute_random,22.093630386156473,NUM
SVC,impute_random_forest,20.427336243439793,NUM
SVC,impute_standard,0.0,NUM
