CustomerAge,CustomerGender,CustomerSatisfaction,PurchaseIntent
18,Male,1,0
35,Female,2,1
63,Male,5,1
63,Female,3,1
57,Male,3,0
37,Female,1,1
26,Female,5,1
35,Male,5,1
19,Female,4,1
66,Female,4,1
20,Female,3,0
38,Female,2,1
48,Male,3,0
62,Male,5,1
54,Male,4,1
33,Male,2,0
29,Female,4,1
26,Male,1,0
28,Male,5,0
43,Male,5,1
58,Male,3,0
34,Male,2,0
65,Male,4,1
67,Female,5,1
23,Male,2,0
61,Female,1,1
58,Female,4,1
64,Male,5,1
37,Male,1,0
55,Male,5,1
56,Female,2,1
28,Female,4,1
42,Male,2,0
57,Female,2,1
39,Female,4,1
50,Male,5,1
52,Female,5,1
50,Female,2,1
40,Male,3,0
41,Male,2,0
29,Female,2,0
65,Female,2,1
30,Female,1,0
47,Female,3,1
60,Female,5,1
29,Female,1,0
41,Female,3,1
21,Male,3,0
33,Female,4,1
49,Female,5,1
57,Male,2,0
26,Male,5,0
21,Female,4,1
19,Female,2,0
18,Male,5,0
27,Female,4,1
51,Male,2,0
25,Male,5,0
25,Female,3,0
69,Male,3,0
67,Male,2,0
44,Female,5,1
69,Male,3,0
33,Female,4,1
67,Male,1,0
37,Male,5,1
24,Male,5,0
23,Male,5,0
28,Male,2,0
22,Female,4,1
61,Male,5,1
19,Female,1,0
67,Female,5,1
25,Female,2,0
62,Male,3,0
35,Male,1,0
41,Female,4,1
33,Male,4,1
42,Female,4,1
26,Male,5,0
53,Male,4,1
51,Male,1,0
68,Female,3,1
53,Male,3,0
60,Male,2,0
67,Female,1,1
69,Male,1,0
68,Male,5,1
57,Female,2,1
65,Female,5,1
37,Female,4,1
55,Female,4,1
64,Male,1,0
48,Male,2,0
25,Female,4,1
46,Male,1,0
27,Female,2,0
55,Male,5,1
48,Female,4,1
53,Female,3,1
30,Female,3,0
51,Male,2,0
50,Male,3,0
47,Female,5,1
69,Female,2,1
45,Male,4,1
53,Male,3,0
64,Female,3,1
25,Male,2,0
56,Female,4,1
58,Female,5,1
28,Female,5,1
42,Female,4,1
65,Male,2,0
63,Male,4,1
45,Male,1,0
30,Male,2,0
56,Female,2,1
25,Male,5,0
25,Male,5,0
21,Female,3,0
45,Male,3,0
53,Female,1,1
38,Male,1,0
67,Female,3,1
31,Male,4,1
46,Male,3,0
46,Male,4,1
38,Female,5,1
56,Male,1,0
20,Male,3,0
19,Female,2,0
33,Female,3,1
47,Male,3,0
21,Female,3,0
60,Female,5,1
28,Female,3,0
28,Male,2,0
18,Female,2,0
48,Male,1,0
60,Female,3,1
27,Male,2,0
32,Male,5,1
42,Female,4,1
51,Male,5,1
49,Male,2,0
65,Female,5,1
42,Male,4,1
36,Female,2,1
66,Female,5,1
33,Male,1,0
19,Female,3,0
41,Male,2,0
38,Male,4,1
20,Male,1,0
51,Female,3,1
58,Male,4,1
60,Male,5,1
66,Female,1,1
59,Male,4,1
23,Female,4,1
55,Female,3,1
18,Female,5,1
47,Female,1,1
50,Male,5,1
40,Female,5,1
42,Male,4,1
57,Male,4,1
21,Female,3,0
26,Female,3,0
69,Male,1,0
56,Female,1,1
45,Female,1,1
39,Female,3,1
42,Female,2,1
