dataset,perc,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,mean,median
character,50,13.47507529896694,13.47507529896694,13.47507529896694,13.47507529896694,13.47507529896694,13.47507529896694,13.996016141374371,13.996016141374371,13.996016141374371,13.996016141374371,13.996016141374371,13.996016141374371,14.255328398399245,14.255328398399245,14.255328398399245,14.255328398399245,14.255328398399245,14.255328398399245,16.102475065329525,16.102475065329525,16.102475065329525,16.102475065329525,16.102475065329525,16.102475065329525,18.566837633084585,18.566837633084585,18.566837633084585,18.566837633084585,18.566837633084585,18.566837633084585,20.375182187089855,20.375182187089855,20.375182187089855,20.375182187089855,20.375182187089855,16.007151604525067,14.255328398399245
character,60,13.44711894332534,13.44711894332534,13.44711894332534,13.44711894332534,13.44711894332534,13.44711894332534,13.937577497012349,13.937577497012349,13.937577497012349,13.937577497012349,13.937577497012349,13.937577497012349,14.25888273120198,14.25888273120198,14.25888273120198,14.25888273120198,14.25888273120198,14.25888273120198,16.135405517331854,16.135405517331854,16.135405517331854,16.135405517331854,16.135405517331854,16.135405517331854,18.62501381137569,18.62501381137569,18.62501381137569,18.62501381137569,18.62501381137569,18.62501381137569,20.403949143675167,20.403949143675167,20.403949143675167,20.403949143675167,20.403949143675167,16.012678191995978,14.25888273120198
character,70,13.419828962597666,13.419828962597666,13.419828962597666,13.419828962597666,13.419828962597666,13.419828962597666,13.879802979712405,13.879802979712405,13.879802979712405,13.879802979712405,13.879802979712405,13.879802979712405,14.263081939655434,14.263081939655434,14.263081939655434,14.263081939655434,14.263081939655434,14.263081939655434,16.1689405743655,16.1689405743655,16.1689405743655,16.1689405743655,16.1689405743655,16.1689405743655,18.68374414491709,18.68374414491709,18.68374414491709,18.68374414491709,18.68374414491709,18.68374414491709,20.433244499162186,20.433244499162186,20.433244499162186,20.433244499162186,20.433244499162186,16.018817545808556,14.263081939655434
character,80,13.393206367662437,13.393206367662437,13.393206367662437,13.393206367662437,13.393206367662437,13.393206367662437,13.82269525572217,13.82269525572217,13.82269525572217,13.82269525572217,13.82269525572217,13.82269525572217,14.267925341501494,14.267925341501494,14.267925341501494,14.267925341501494,14.267925341501494,14.267925341501494,16.203077991082864,16.203077991082864,16.203077991082864,16.203077991082864,16.203077991082864,16.203077991082864,18.74302505707097,18.74302505707097,18.74302505707097,18.74302505707097,18.74302505707097,18.74302505707097,20.46306629191024,20.46306629191024,20.46306629191024,20.46306629191024,20.46306629191024,16.02556890107973,14.267925341501494
character,90,13.367252060211854,13.367252060211854,13.367252060211854,13.367252060211854,13.367252060211854,13.367252060211854,13.76625688094233,13.76625688094233,13.76625688094233,13.76625688094233,13.76625688094233,13.76625688094233,14.273412150349095,14.273412150349095,14.273412150349095,14.273412150349095,14.273412150349095,14.273412150349095,16.2378154259861,16.2378154259861,16.2378154259861,16.2378154259861,16.2378154259861,16.2378154259861,18.802852884471854,18.802852884471854,18.802852884471854,18.802852884471854,18.802852884471854,18.802852884471854,20.493412476246863,20.493412476246863,20.493412476246863,20.493412476246863,20.493412476246863,16.032931394085765,14.273412150349095
consumer,50,13.584515967455205,13.584515967455205,13.584515967455205,13.584515967455205,13.584515967455205,13.584515967455205,14.213906905852536,14.213906905852536,14.213906905852536,14.213906905852536,14.213906905852536,14.213906905852536,14.252648978996085,14.252648978996085,14.252648978996085,14.252648978996085,14.252648978996085,14.252648978996085,15.995108589768881,15.995108589768881,15.995108589768881,15.995108589768881,15.995108589768881,15.995108589768881,18.369167915465408,18.369167915465408,18.369167915465408,18.369167915465408,18.369167915465408,18.369167915465408,20.274458957415575,20.274458957415575,20.274458957415575,20.274458957415575,20.274458957415575,15.996125283780195,14.252648978996085
consumer,60,13.576509303739876,13.576509303739876,13.576509303739876,13.576509303739876,13.576509303739876,13.576509303739876,14.19794461378685,14.19794461378685,14.19794461378685,14.19794461378685,14.19794461378685,14.19794461378685,14.25289165958297,14.25289165958297,14.25289165958297,14.25289165958297,14.25289165958297,14.25289165958297,16.00306328798494,16.00306328798494,16.00306328798494,16.00306328798494,16.00306328798494,16.00306328798494,18.383767126376373,18.383767126376373,18.383767126376373,18.383767126376373,18.383767126376373,18.383767126376373,20.288177596988398,20.288177596988398,20.288177596988398,20.288177596988398,20.288177596988398,15.99788411239337,14.25289165958297
consumer,70,13.568547714409016,13.568547714409016,13.568547714409016,13.568547714409016,13.568547714409016,13.568547714409016,14.182026746933746,14.182026746933746,14.182026746933746,14.182026746933746,14.182026746933746,14.182026746933746,14.2531784575409,14.2531784575409,14.2531784575409,14.2531784575409,14.2531784575409,14.2531784575409,16.011059829189914,16.011059829189914,16.011059829189914,16.011059829189914,16.011059829189914,16.011059829189914,18.398405143469695,18.398405143469695,18.398405143469695,18.398405143469695,18.398405143469695,18.398405143469695,20.30193270526251,20.30193270526251,20.30193270526251,20.30193270526251,20.30193270526251,15.999684882159205,14.2531784575409
consumer,80,13.560631226774845,13.560631226774845,13.560631226774845,13.560631226774845,13.560631226774845,13.560631226774845,14.166153362098823,14.166153362098823,14.166153362098823,14.166153362098823,14.166153362098823,14.166153362098823,14.253509369684133,14.253509369684133,14.253509369684133,14.253509369684133,14.253509369684133,14.253509369684133,16.019098181758284,16.019098181758284,16.019098181758284,16.019098181758284,16.019098181758284,16.019098181758284,18.413081910672435,18.413081910672435,18.413081910672435,18.413081910672435,18.413081910672435,18.413081910672435,20.311696475638886,20.311696475638886,20.311696475638886,20.311696475638886,20.311696475638886,16.000952190975017,14.253509369684133
consumer,90,13.552759867647124,13.552759867647124,13.552759867647124,13.552759867647124,13.552759867647124,13.552759867647124,14.150324515590858,14.150324515590858,14.150324515590858,14.150324515590858,14.150324515590858,14.150324515590858,14.25388439233716,14.25388439233716,14.25388439233716,14.25388439233716,14.25388439233716,14.25388439233716,16.027178313601727,16.027178313601727,16.027178313601727,16.027178313601727,16.027178313601727,16.027178313601727,18.42779737148422,18.42779737148422,18.42779737148422,18.42779737148422,18.42779737148422,18.42779737148422,20.318754711909996,20.318754711909996,20.318754711909996,20.318754711909996,20.318754711909996,16.001869723529044,14.25388439233716
