dataset,perc,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
character,50,0.26950150597933886,0.26950150597933886,0.26950150597933886,0.26950150597933886,0.26950150597933886,0.26950150597933886,0.27992032282748747,0.27992032282748747,0.27992032282748747,0.27992032282748747,0.27992032282748747,0.27992032282748747,0.28510656796798495,0.28510656796798495,0.28510656796798495,0.28510656796798495,0.28510656796798495,0.28510656796798495,0.3220495013065905,0.3220495013065905,0.3220495013065905,0.3220495013065905,0.3220495013065905,0.3220495013065905,0.37133675266169175,0.37133675266169175,0.37133675266169175,0.37133675266169175,0.37133675266169175,0.37133675266169175,0.40750364374179715,0.40750364374179715,0.40750364374179715,0.40750364374179715,0.40750364374179715
character,60,0.26894237886650685,0.26894237886650685,0.26894237886650685,0.26894237886650685,0.26894237886650685,0.26894237886650685,0.278751549940247,0.278751549940247,0.278751549940247,0.278751549940247,0.278751549940247,0.278751549940247,0.28517765462403966,0.28517765462403966,0.28517765462403966,0.28517765462403966,0.28517765462403966,0.28517765462403966,0.32270811034663716,0.32270811034663716,0.32270811034663716,0.32270811034663716,0.32270811034663716,0.32270811034663716,0.3725002762275138,0.3725002762275138,0.3725002762275138,0.3725002762275138,0.3725002762275138,0.3725002762275138,0.4080789828735033,0.4080789828735033,0.4080789828735033,0.4080789828735033,0.4080789828735033
character,70,0.26839657925195337,0.26839657925195337,0.26839657925195337,0.26839657925195337,0.26839657925195337,0.26839657925195337,0.27759605959424816,0.27759605959424816,0.27759605959424816,0.27759605959424816,0.27759605959424816,0.27759605959424816,0.28526163879310873,0.28526163879310873,0.28526163879310873,0.28526163879310873,0.28526163879310873,0.28526163879310873,0.32337881148731007,0.32337881148731007,0.32337881148731007,0.32337881148731007,0.32337881148731007,0.32337881148731007,0.37367488289834183,0.37367488289834183,0.37367488289834183,0.37367488289834183,0.37367488289834183,0.37367488289834183,0.4086648899832437,0.4086648899832437,0.4086648899832437,0.4086648899832437,0.4086648899832437
character,80,0.2678641273532487,0.2678641273532487,0.2678641273532487,0.2678641273532487,0.2678641273532487,0.2678641273532487,0.27645390511444345,0.27645390511444345,0.27645390511444345,0.27645390511444345,0.27645390511444345,0.27645390511444345,0.28535850683002995,0.28535850683002995,0.28535850683002995,0.28535850683002995,0.28535850683002995,0.28535850683002995,0.3240615598216573,0.3240615598216573,0.3240615598216573,0.3240615598216573,0.3240615598216573,0.3240615598216573,0.37486050114141944,0.37486050114141944,0.37486050114141944,0.37486050114141944,0.37486050114141944,0.37486050114141944,0.40926132583820485,0.40926132583820485,0.40926132583820485,0.40926132583820485,0.40926132583820485
character,90,0.2673450412042371,0.2673450412042371,0.2673450412042371,0.2673450412042371,0.2673450412042371,0.2673450412042371,0.2753251376188466,0.2753251376188466,0.2753251376188466,0.2753251376188466,0.2753251376188466,0.2753251376188466,0.2854682430069819,0.2854682430069819,0.2854682430069819,0.2854682430069819,0.2854682430069819,0.2854682430069819,0.32475630851972204,0.32475630851972204,0.32475630851972204,0.32475630851972204,0.32475630851972204,0.32475630851972204,0.3760570576894371,0.3760570576894371,0.3760570576894371,0.3760570576894371,0.3760570576894371,0.3760570576894371,0.4098682495249373,0.4098682495249373,0.4098682495249373,0.4098682495249373,0.4098682495249373
consumer,50,0.27169031934910415,0.27169031934910415,0.27169031934910415,0.27169031934910415,0.27169031934910415,0.27169031934910415,0.2842781381170507,0.2842781381170507,0.2842781381170507,0.2842781381170507,0.2842781381170507,0.2842781381170507,0.2850529795799217,0.2850529795799217,0.2850529795799217,0.2850529795799217,0.2850529795799217,0.2850529795799217,0.3199021717953776,0.3199021717953776,0.3199021717953776,0.3199021717953776,0.3199021717953776,0.3199021717953776,0.36738335830930824,0.36738335830930824,0.36738335830930824,0.36738335830930824,0.36738335830930824,0.36738335830930824,0.4054891791483115,0.4054891791483115,0.4054891791483115,0.4054891791483115,0.4054891791483115
consumer,60,0.2715301860747975,0.2715301860747975,0.2715301860747975,0.2715301860747975,0.2715301860747975,0.2715301860747975,0.283958892275737,0.283958892275737,0.283958892275737,0.283958892275737,0.283958892275737,0.283958892275737,0.28505783319165945,0.28505783319165945,0.28505783319165945,0.28505783319165945,0.28505783319165945,0.28505783319165945,0.32006126575969884,0.32006126575969884,0.32006126575969884,0.32006126575969884,0.32006126575969884,0.32006126575969884,0.36767534252752754,0.36767534252752754,0.36767534252752754,0.36767534252752754,0.36767534252752754,0.36767534252752754,0.405763551939768,0.405763551939768,0.405763551939768,0.405763551939768,0.405763551939768
consumer,70,0.27137095428818037,0.27137095428818037,0.27137095428818037,0.27137095428818037,0.27137095428818037,0.27137095428818037,0.2836405349386749,0.2836405349386749,0.2836405349386749,0.2836405349386749,0.2836405349386749,0.2836405349386749,0.285063569150818,0.285063569150818,0.285063569150818,0.285063569150818,0.285063569150818,0.285063569150818,0.32022119658379833,0.32022119658379833,0.32022119658379833,0.32022119658379833,0.32022119658379833,0.32022119658379833,0.36796810286939396,0.36796810286939396,0.36796810286939396,0.36796810286939396,0.36796810286939396,0.36796810286939396,0.4060386541052502,0.4060386541052502,0.4060386541052502,0.4060386541052502,0.4060386541052502
consumer,80,0.2712126245354969,0.2712126245354969,0.2712126245354969,0.2712126245354969,0.2712126245354969,0.2712126245354969,0.28332306724197653,0.28332306724197653,0.28332306724197653,0.28332306724197653,0.28332306724197653,0.28332306724197653,0.28507018739368273,0.28507018739368273,0.28507018739368273,0.28507018739368273,0.28507018739368273,0.28507018739368273,0.3203819636351657,0.3203819636351657,0.3203819636351657,0.3203819636351657,0.3203819636351657,0.3203819636351657,0.3682616382134487,0.3682616382134487,0.3682616382134487,0.3682616382134487,0.3682616382134487,0.3682616382134487,0.4062339295127777,0.4062339295127777,0.4062339295127777,0.4062339295127777,0.4062339295127777
consumer,90,0.2710551973529425,0.2710551973529425,0.2710551973529425,0.2710551973529425,0.2710551973529425,0.2710551973529425,0.28300649031181724,0.28300649031181724,0.28300649031181724,0.28300649031181724,0.28300649031181724,0.28300649031181724,0.28507768784674326,0.28507768784674326,0.28507768784674326,0.28507768784674326,0.28507768784674326,0.28507768784674326,0.3205435662720345,0.3205435662720345,0.3205435662720345,0.3205435662720345,0.3205435662720345,0.3205435662720345,0.36855594742968445,0.36855594742968445,0.36855594742968445,0.36855594742968445,0.36855594742968445,0.36855594742968445,0.40637509423819995,0.40637509423819995,0.40637509423819995,0.40637509423819995,0.40637509423819995
