Ratings,RAM,ROM,Mobile_Size,Primary_Cam,Selfi_Cam,Battery_Power,Price_Class
4.3,4.0,128.0,6.0,48,13.0,4000,10000-60000
3.4,6.0,64.0,4.5,48,12.0,4000,10000-60000
4.3,4.0,4.0,4.5,64,16.0,4000,10000-60000
4.4,6.0,64.0,6.4,48,15.0,3800,10000-60000
4.5,6.0,128.0,6.18,35,15.0,3800,10000-60000
4.7,8.0,128.0,5.8,35,12.0,5000,10000-60000
4.4,8.0,128.0,6.7,64,5.0,4700,10000-60000
4.5,8.0,128.0,6.7,48,12.0,4700,10000-60000
4.4,4.0,128.0,6.53,48,2.0,4020,10000-60000
4.5,8.0,256.0,6.18,35,5.0,3800,10000-60000
3.9,6.0,32.0,4.54,64,8.0,4100,1000-10000
3.8,6.0,32.0,4.5,64,8.0,1050,1000-10000
,2.0,16.0,5.5,8,,4200,1000-10000
3.8,6.0,32.0,4.7,64,8.0,3000,1000-10000
4.5,8.0,256.0,6.67,48,8.0,3800,10000-60000
4.6,6.0,128.0,6.67,48,8.0,3800,10000-60000
4.1,6.0,32.0,3.7,64,,4700,0-1000
4.5,8.0,128.0,6.7,64,1.0,4700,10000-60000
4.5,8.0,128.0,6.7,48,12.0,4700,10000-60000
4.3,2.0,32.0,6.2,38,2.0,4230,10000-60000
4.1,8.0,64.0,4.54,64,,2500,1000-10000
3.7,6.0,32.0,2.0,64,13.0,1550,1000-10000
3.8,6.0,32.0,4.54,48,,3000,1000-10000
3.8,6.0,32.0,4.54,25,23.0,3000,1000-10000
,6.0,32.0,4.5,64,32.0,3000,0-1000
,6.0,32.0,4.5,64,13.0,3000,0-1000
3.8,12.0,24.0,2.0,64,,1550,1000-10000
3.7,6.0,32.0,4.77,48,,1750,0-1000
4.1,,32.0,4.5,64,23.0,3000,1000-10000
3.6,8.0,32.0,4.5,48,,3000,0-1000
3.9,6.0,32.0,4.5,64,15.0,3000,0-1000
4.5,6.0,128.0,6.4,35,13.0,3800,10000-60000
4.0,4.0,64.0,5.5,38,1.0,4010,10000-60000
4.2,6.0,128.0,6.53,48,2.0,3800,10000-60000
4.2,6.0,24.0,4.54,48,,1750,1000-10000
4.6,12.0,128.0,6.1,35,7.0,3500,10000-60000
4.2,6.0,32.0,4.54,48,18.0,1750,1000-10000
4.0,6.0,32.0,4.5,48,,3000,0-1000
3.9,12.0,12.0,4.54,48,13.0,3000,1000-10000
3.9,6.0,32.0,4.54,48,5.0,3000,1000-10000
3.6,6.0,32.0,4.54,38,,1200,0-1000
3.6,6.0,32.0,4.54,38,0.0,1200,0-1000
3.8,3.0,32.0,6.2,48,8.0,3000,10000-60000
