Gender,Married,Age,Graduat,Profession,Experience,SpendingScore,FamilySize
,No,22.0,,,1.0,Low,
,Yes,38.0,Yes,,,Average,3.0
,Yes,,Yes,Engineer,1.0,,1.0
Male,Yes,,,Lawyer,0.0,High,
,Yes,,Yes,,,High,6.0
,Yes,56.0,,Artist,,Average,2.0
Male,No,,,Healthcare,1.0,,3.0
Female,No,33.0,,,1.0,Low,3.0
,Yes,61.0,,Engineer,0.0,,3.0
,Yes,,,Artist,1.0,Average,4.0
Female,No,26.0,Yes,Engineer,1.0,Low,3.0
,No,,No,Healthcare,,,4.0
Female,No,19.0,No,Executive,,,
Male,Yes,70.0,No,,,,1.0
Female,Yes,58.0,,Doctor,0.0,,
Female,No,41.0,No,Healthcare,1.0,,2.0
Female,No,32.0,No,,9.0,Low,5.0
Male,No,31.0,No,,1.0,Low,6.0
Male,Yes,58.0,,,1.0,Average,4.0
Female,Yes,,,,0.0,,
Male,Yes,49.0,,Homemaker,,,1.0
,No,,No,,3.0,Low,4.0
,Yes,33.0,,Artist,,,2.0
,No,,Yes,,,,
Male,Yes,56.0,No,,,,
Male,No,31.0,No,Healthcare,,Low,8.0
Male,Yes,49.0,Yes,,1.0,Average,3.0
,No,,Yes,Artist,0.0,,1.0
Female,No,35.0,No,Artist,5.0,,4.0
Female,Yes,45.0,Yes,Artist,0.0,,3.0
Female,Yes,,No,Doctor,1.0,Low,2.0
Male,No,,No,Healthcare,1.0,Low,3.0
,No,26.0,No,Homemaker,,Low,
Female,Yes,83.0,No,Lawyer,1.0,High,2.0
,No,27.0,Yes,Healthcare,,Low,4.0
Male,No,32.0,,Doctor,5.0,Low,1.0
Female,Yes,28.0,No,Healthcare,,,
Female,Yes,28.0,,Artist,8.0,,2.0
,Yes,56.0,Yes,Artist,,Average,2.0
,No,47.0,Yes,Artist,,,1.0
,No,22.0,,,0.0,,
Female,No,27.0,Yes,Artist,14.0,Low,3.0
Female,Yes,49.0,Yes,Artist,1.0,,2.0
,Yes,40.0,No,Engineer,8.0,,1.0
,Yes,,,Lawyer,,High,
Male,Yes,41.0,Yes,,0.0,Average,4.0
Female,No,29.0,,,,Low,
,No,,No,Healthcare,0.0,Low,4.0
,No,,Yes,Engineer,1.0,Low,
Female,Yes,61.0,,Artist,,Average,2.0
Female,Yes,36.0,Yes,Artist,1.0,,2.0
Male,Yes,,,,1.0,Low,1.0
Female,Yes,57.0,Yes,Entertainment,0.0,,2.0
Male,Yes,76.0,,Marketing,1.0,Low,1.0
,Yes,32.0,Yes,Artist,,Average,2.0
,No,,,Healthcare,9.0,Low,4.0
Male,No,32.0,,Doctor,8.0,Low,2.0
,Yes,,Yes,Artist,,,
,Yes,72.0,Yes,Lawyer,,Low,
Male,Yes,,Yes,Artist,0.0,,2.0
,Yes,55.0,Yes,Artist,9.0,Average,2.0
Male,Yes,74.0,Yes,Lawyer,0.0,,3.0
Male,Yes,56.0,Yes,Lawyer,,High,2.0
Male,Yes,59.0,Yes,Lawyer,,,
Male,No,25.0,Yes,Entertainment,0.0,Low,2.0
Male,Yes,31.0,Yes,,0.0,,2.0
Male,No,27.0,No,,,Low,
,Yes,,,Artist,0.0,,4.0
,Yes,39.0,,Homemaker,,,2.0
Male,Yes,27.0,Yes,Healthcare,8.0,Low,
Female,Yes,,Yes,Entertainment,8.0,,2.0
Female,Yes,47.0,,Artist,0.0,Average,5.0
Female,No,33.0,No,Healthcare,,,4.0
Male,Yes,,Yes,Artist,0.0,,
Female,No,33.0,,Homemaker,,,
Female,No,36.0,,Doctor,0.0,Low,2.0
,Yes,,No,Artist,,Low,3.0
,Yes,45.0,Yes,Engineer,,Average,2.0
Female,No,,Yes,,1.0,Low,1.0
Male,No,30.0,No,,0.0,Low,4.0
,No,26.0,No,Healthcare,,,3.0
Male,Yes,,Yes,,8.0,Low,
Male,Yes,35.0,,,8.0,Average,4.0
,No,19.0,,Marketing,,Low,3.0
,No,,,,7.0,Low,
Male,Yes,,,Artist,,,3.0
Female,Yes,36.0,Yes,Artist,5.0,Low,
,No,,No,Entertainment,7.0,Low,3.0
,Yes,40.0,,Doctor,,,2.0
Male,No,39.0,,Entertainment,,,3.0
Female,Yes,,,Artist,1.0,,4.0
Female,Yes,,Yes,,1.0,,2.0
Male,Yes,32.0,No,Entertainment,1.0,,2.0
,Yes,55.0,,Artist,0.0,Low,1.0
Male,Yes,58.0,Yes,Artist,,,1.0
Female,No,,Yes,,0.0,,1.0
,Yes,,,Artist,0.0,High,
Male,Yes,58.0,Yes,Doctor,1.0,Average,2.0
Male,Yes,30.0,No,Engineer,,,3.0
Male,Yes,,Yes,Artist,,Average,4.0
Male,Yes,,No,Executive,,,
Male,Yes,52.0,,Artist,0.0,Low,
Male,Yes,,,,,High,
Female,Yes,35.0,Yes,Healthcare,,Low,2.0
Male,No,18.0,No,,1.0,,2.0
,Yes,30.0,Yes,,,,
Male,No,86.0,No,Lawyer,,,1.0
